date,FTSE 100,AstraZeneca PLC,HSBC Holdings PLC,Linde PLC,Shell PLC,Unilever PLC
2019-02-21,60.57,44.87,65.41,41.36,70.11,76.74
2019-02-22,74.98,76.81,51.27,78.77,59.77,66.96
2019-02-23,50.34,70.37,78.3,79.91,42.99,67.8
2019-02-24,53.92,53.03,49.3,64.03,70.07,52.9
2019-02-25,63.35,75.61,74.9,54.5,45.74,54.88
2019-02-26,45.77,40.43,73.02,52.11,48.15,41.91
2019-02-27,51.9,59.24,48.05,40.85,71.07,50.76
2019-02-28,70.68,51.58,68.25,62.16,40.45,76.06
2019-03-01,48.22,48.82,58.95,57.01,42.78,51.29
2019-03-02,64.57,49.41,43.5,45.49,57.14,55.71
2019-03-03,42.22,59.74,51.07,60.54,50.11,72.92
2019-03-04,59.32,72.18,79.15,64.21,66.71,79.17
2019-03-05,52.15,48.32,64.59,58.43,56.53,60.1
2019-03-06,78.96,60.97,53.08,45.77,45.85,74.75
2019-03-07,48.35,57.49,75.71,70.94,45.91,53.84
2019-03-08,68.82,47.21,46.25,44.34,62.99,48.81
2019-03-09,73.29,41.64,78.01,51.05,58.94,68.83
2019-03-10,59.96,70.92,59.09,61.38,72.67,68.13
2019-03-11,79.74,43.59,57.91,70.67,65.3,58.73
2019-03-12,57.82,75.17,57.35,70.26,56.38,77.91
2019-03-13,45.88,40.63,52.36,67.92,40.39,77.33
2019-03-14,64.6,69.47,61.62,65.31,63.22,40.58
2019-03-15,55.58,75.15,68.13,40.49,47.57,57.83
2019-03-16,57.05,75.6,52.16,53.0,61.28,61.54
2019-03-17,79.87,52.92,75.23,44.76,46.56,52.08
2019-03-18,63.93,76.3,72.31,52.83,73.62,40.79
2019-03-19,48.4,55.24,47.61,52.88,54.65,61.16
2019-03-20,68.66,50.46,67.23,72.36,49.06,77.53
2019-03-21,49.95,42.53,77.11,59.82,55.99,71.77
2019-03-22,41.68,71.36,61.39,72.83,62.76,79.66
2019-03-23,48.47,51.86,52.04,53.88,76.74,59.09
2019-03-24,50.19,70.95,46.06,56.48,59.94,78.67
2019-03-25,65.04,40.26,52.35,70.98,48.37,68.82
2019-03-26,51.77,45.98,65.93,73.17,73.48,57.82
2019-03-27,44.35,68.8,73.69,59.73,50.27,68.59
2019-03-28,62.91,68.53,51.02,76.22,73.45,47.64
2019-03-29,77.82,76.75,47.32,76.19,58.58,64.98
2019-03-30,40.52,60.18,44.19,73.1,77.78,56.9
2019-03-31,69.67,59.84,67.4,67.95,60.11,67.45
2019-04-01,77.04,54.8,64.96,72.62,67.06,70.12
2019-04-02,75.64,71.66,50.5,70.71,56.15,41.34
2019-04-03,47.28,52.69,48.29,52.84,56.74,72.68
2019-04-04,53.99,59.4,68.31,40.87,59.21,49.65
2019-04-05,68.05,48.84,63.86,67.48,75.58,70.44
2019-04-06,55.28,41.7,40.54,43.29,54.6,67.8
2019-04-07,58.5,57.92,62.7,51.06,45.31,61.05
2019-04-08,72.45,67.66,74.66,69.87,52.54,50.38
2019-04-09,68.59,54.75,45.21,72.32,44.48,48.66
2019-04-10,46.33,45.76,46.55,68.84,49.36,73.85
2019-04-11,74.4,61.6,68.08,66.51,59.77,55.12
2019-04-12,54.78,47.21,58.12,69.93,63.03,60.57
2019-04-13,69.41,73.14,69.75,77.92,67.86,71.46
2019-04-14,54.84,74.65,76.03,44.18,41.54,43.93
2019-04-15,72.63,65.93,44.29,56.88,60.59,57.83
2019-04-16,59.47,52.83,64.72,49.62,73.14,76.12
2019-04-17,65.16,41.65,58.92,68.85,56.31,52.86
2019-04-18,69.68,45.36,67.6,71.7,77.69,62.78
2019-04-19,73.57,49.78,49.49,49.08,58.39,61.06
2019-04-20,76.11,48.31,54.93,68.84,58.43,77.36
2019-04-21,41.2,66.38,52.77,57.09,78.02,72.23
2019-04-22,72.66,79.88,69.36,50.08,42.9,60.27
2019-04-23,57.56,43.32,74.53,79.17,55.36,42.52
2019-04-24,57.63,78.4,52.75,58.96,66.45,43.44
2019-04-25,49.35,49.09,61.23,68.09,64.18,69.95
2019-04-26,59.26,68.1,68.04,60.98,74.11,42.7
2019-04-27,65.41,40.9,76.08,48.97,55.62,53.91
2019-04-28,72.52,72.12,42.4,69.33,57.89,64.08
2019-04-29,45.59,74.74,55.47,59.21,77.67,61.81
2019-04-30,44.08,70.96,61.91,64.1,62.6,57.08
2019-05-01,52.71,47.25,42.17,49.1,63.67,50.57
2019-05-02,58.58,67.01,42.86,51.15,55.0,50.44
2019-05-03,41.79,57.66,62.68,57.95,55.58,49.46
2019-05-04,67.99,64.29,77.04,68.77,69.12,51.61
2019-05-05,74.39,46.95,71.52,71.34,77.72,44.93
2019-05-06,67.59,68.53,68.53,59.38,76.94,53.03
2019-05-07,57.56,54.42,48.85,76.13,63.63,40.71
2019-05-08,71.08,70.28,52.1,77.03,40.27,43.19
2019-05-09,53.75,47.07,72.83,49.66,72.57,73.75
2019-05-10,47.64,66.73,43.67,65.21,54.45,40.58
2019-05-11,51.77,77.91,63.32,71.91,56.86,75.81
2019-05-12,79.12,48.1,62.51,44.65,51.52,67.54
2019-05-13,67.85,62.51,78.7,64.9,47.47,48.92
2019-05-14,77.75,52.67,41.23,67.35,63.77,41.63
2019-05-15,43.12,72.52,65.57,42.17,78.87,62.83
2019-05-16,59.82,76.09,43.14,72.36,59.26,59.01
2019-05-17,77.2,49.26,67.72,55.6,57.1,61.79
2019-05-18,42.85,59.61,59.21,74.29,68.95,40.08
2019-05-19,59.1,63.1,53.44,67.7,70.81,41.87
2019-05-20,42.05,64.91,75.56,68.96,58.31,57.03
2019-05-21,61.56,64.78,53.94,67.53,78.72,52.34
2019-05-22,68.86,53.47,46.73,74.25,69.79,54.18
2019-05-23,44.16,75.76,58.95,77.29,51.49,49.48
2019-05-24,49.0,52.2,51.39,72.37,72.45,56.89
2019-05-25,55.98,78.49,62.63,46.47,71.25,67.28
2019-05-26,74.25,75.92,50.35,42.26,47.98,78.65
2019-05-27,69.97,79.44,73.16,65.51,48.87,59.85
2019-05-28,75.99,49.96,60.02,61.58,55.9,76.43
2019-05-29,48.48,47.44,77.34,60.15,57.6,46.16
2019-05-30,46.37,69.01,54.48,68.05,69.4,57.9
2019-05-31,76.21,61.06,60.75,44.82,60.59,47.2
2019-06-01,73.99,43.26,48.33,74.86,43.67,59.71
2019-06-02,55.24,42.04,65.09,56.53,62.44,72.86
2019-06-03,49.48,74.38,60.18,40.92,79.95,42.34
2019-06-04,68.36,70.37,60.61,53.49,41.62,72.86
2019-06-05,61.12,70.06,43.23,43.81,78.55,61.14
2019-06-06,79.89,55.19,48.53,61.17,70.43,74.56
2019-06-07,43.01,54.96,42.35,50.36,70.78,71.36
2019-06-08,64.63,62.65,53.53,70.22,47.32,74.11
2019-06-09,77.87,45.19,59.77,73.67,68.99,64.26
2019-06-10,73.23,73.92,56.34,66.57,49.2,71.38
2019-06-11,65.39,52.92,61.07,77.83,64.87,61.72
2019-06-12,50.71,68.36,65.68,71.1,75.92,47.64
2019-06-13,41.44,77.48,77.04,53.2,51.85,63.73
2019-06-14,51.75,65.18,76.74,50.53,60.78,76.47
2019-06-15,59.85,77.86,75.3,68.72,78.96,74.82
2019-06-16,41.18,76.16,59.2,51.4,77.96,73.3
2019-06-17,76.52,69.17,58.67,65.1,63.14,53.79
2019-06-18,61.21,44.4,63.6,64.58,40.55,66.29
2019-06-19,66.99,50.78,65.7,57.79,60.96,73.22
2019-06-20,53.92,69.66,48.96,69.24,55.61,58.08
2019-06-21,44.13,44.86,62.92,69.83,53.83,40.94
2019-06-22,70.1,60.66,78.32,57.71,57.45,40.54
2019-06-23,52.94,62.99,60.43,58.62,64.43,44.69
2019-06-24,76.51,79.26,41.33,61.51,69.03,46.88
2019-06-25,41.37,66.87,55.85,57.81,61.03,42.43
2019-06-26,68.32,55.04,68.83,66.53,40.06,56.6
2019-06-27,53.88,76.76,72.8,42.36,48.01,58.52
2019-06-28,79.03,73.44,69.81,48.36,63.11,61.65
2019-06-29,52.21,58.62,76.09,78.88,48.25,47.74
2019-06-30,79.19,65.44,41.86,54.77,74.91,53.97
2019-07-01,67.07,47.11,42.61,57.13,49.21,73.9
2019-07-02,43.36,64.74,67.27,60.55,51.27,43.71
2019-07-03,52.48,61.39,67.27,79.01,78.67,44.89
2019-07-04,56.58,48.38,74.03,56.16,48.2,59.14
2019-07-05,61.5,40.14,49.99,70.79,64.5,42.47
2019-07-06,71.99,49.66,54.03,59.35,64.68,75.03
2019-07-07,56.29,56.88,79.03,69.63,69.57,75.79
2019-07-08,63.28,71.02,74.95,51.97,54.71,45.33
2019-07-09,57.94,76.94,62.17,78.75,57.01,45.14
2019-07-10,71.46,49.3,69.46,66.74,58.87,40.79
2019-07-11,75.07,46.25,43.04,53.99,73.11,58.6
2019-07-12,68.13,51.38,45.74,74.35,77.85,54.9
2019-07-13,59.14,65.47,62.9,74.07,51.92,66.49
2019-07-14,68.73,64.44,40.52,57.01,56.37,58.47
2019-07-15,68.0,73.12,50.94,42.98,67.35,54.15
2019-07-16,63.16,58.78,62.58,56.78,73.27,72.25
2019-07-17,69.35,65.96,79.18,79.42,76.06,44.79
2019-07-18,79.12,51.04,50.64,53.13,71.17,65.65
2019-07-19,45.38,70.49,67.16,68.06,54.85,44.73
2019-07-20,67.13,62.39,41.64,57.02,68.9,77.26
2019-07-21,74.58,57.94,59.92,43.99,45.81,63.46
2019-07-22,78.96,65.49,43.23,74.2,58.23,74.8
2019-07-23,51.41,67.79,53.16,47.03,64.52,75.53
2019-07-24,54.74,65.8,55.95,56.09,68.73,68.69
2019-07-25,68.21,47.79,66.45,60.68,56.59,59.26
2019-07-26,55.37,65.76,58.01,56.08,60.95,53.6
2019-07-27,72.57,45.3,78.34,49.99,49.83,50.28
2019-07-28,76.97,46.02,49.45,79.86,43.69,63.82
2019-07-29,49.65,48.0,58.9,62.13,71.95,73.85
2019-07-30,78.82,49.35,44.88,43.69,54.97,50.09
2019-07-31,73.28,65.78,58.19,53.26,56.11,56.65
2019-08-01,45.04,78.15,76.32,42.05,41.84,51.32
2019-08-02,75.93,68.79,41.75,46.27,51.6,70.24
2019-08-03,64.46,40.04,71.4,75.82,50.7,68.19
2019-08-04,69.57,57.84,55.3,65.18,48.52,62.12
2019-08-05,46.81,70.64,54.38,64.77,76.39,41.08
2019-08-06,59.56,64.25,48.37,67.99,76.31,63.22
2019-08-07,43.84,46.31,77.0,46.29,61.52,70.47
2019-08-08,74.69,44.87,79.7,58.11,68.2,65.92
2019-08-09,63.88,68.44,57.06,54.47,60.57,76.83
2019-08-10,75.23,68.95,67.31,61.29,72.79,64.42
2019-08-11,65.32,45.2,69.0,45.67,68.92,67.7
2019-08-12,75.29,42.16,45.08,69.02,67.19,71.83
2019-08-13,41.61,55.28,48.8,66.76,67.55,55.13
2019-08-14,77.91,43.36,59.97,77.67,55.03,79.73
2019-08-15,60.77,56.62,51.71,67.18,47.22,76.01
2019-08-16,45.4,42.72,45.0,60.87,66.65,68.11
2019-08-17,63.48,62.67,53.13,44.97,43.82,71.98
2019-08-18,70.14,47.13,68.5,75.35,79.41,64.12
2019-08-19,43.25,40.22,56.25,52.91,42.72,49.08
2019-08-20,60.87,41.89,58.88,71.86,54.66,63.59
2019-08-21,57.7,53.66,72.26,61.65,54.7,41.16
2019-08-22,44.16,43.29,57.33,43.39,71.13,42.73
2019-08-23,48.95,59.01,63.38,74.21,68.21,57.59
2019-08-24,47.21,67.81,52.21,44.49,47.74,79.45
2019-08-25,42.37,40.75,42.85,72.69,44.09,61.71
2019-08-26,60.85,42.13,69.98,78.45,76.74,45.23
2019-08-27,44.07,40.64,53.59,43.67,55.73,62.97
2019-08-28,58.78,51.75,50.91,78.4,54.51,43.69
2019-08-29,41.15,62.57,43.19,52.75,48.81,70.68
2019-08-30,47.12,45.13,76.26,46.29,41.91,78.85
2019-08-31,69.95,64.08,65.59,44.42,45.92,78.76
2019-09-01,44.77,72.03,78.03,76.14,47.38,71.99
2019-09-02,41.12,41.18,74.26,59.95,70.71,41.73
2019-09-03,57.78,51.84,41.35,68.85,47.43,46.75
2019-09-04,58.21,69.03,53.79,67.01,66.74,68.83
2019-09-05,73.39,73.07,62.36,72.65,40.98,68.9
2019-09-06,50.8,48.74,62.89,47.51,56.77,56.44
2019-09-07,54.82,44.63,63.01,50.56,58.52,61.15
2019-09-08,57.71,53.32,53.08,75.49,54.85,65.52
2019-09-09,73.17,40.61,49.6,47.12,77.53,56.09
2019-09-10,60.03,62.31,45.41,69.68,54.15,53.74
2019-09-11,54.48,69.86,42.33,77.85,44.53,60.8
2019-09-12,50.19,52.29,40.25,64.05,57.27,52.31
2019-09-13,65.95,41.89,53.59,57.94,45.06,55.38
2019-09-14,51.9,68.71,69.8,67.24,48.66,65.93
2019-09-15,42.85,43.19,50.42,49.35,71.52,70.87
2019-09-16,61.97,70.74,69.62,78.01,44.7,72.81
2019-09-17,52.97,41.01,42.05,67.6,47.25,41.64
2019-09-18,55.44,52.57,42.22,52.97,56.67,73.38
2019-09-19,46.67,75.9,72.89,68.32,66.93,58.56
2019-09-20,43.09,41.99,78.42,48.87,53.66,52.4
2019-09-21,52.44,68.91,49.98,41.36,69.9,64.12
2019-09-22,60.98,66.48,79.53,62.78,62.29,52.87
2019-09-23,74.43,63.48,58.11,41.99,76.58,77.1
2019-09-24,77.22,71.7,47.88,47.31,71.6,74.57
2019-09-25,60.25,79.15,47.25,72.22,75.15,50.69
2019-09-26,50.44,59.55,55.8,61.46,59.95,78.39
2019-09-27,79.4,63.55,44.0,63.75,70.7,66.12
2019-09-28,70.72,76.86,74.28,56.37,78.01,41.13
2019-09-29,75.03,68.64,45.59,41.21,76.45,44.36
2019-09-30,44.52,73.47,53.49,60.55,69.24,71.8
2019-10-01,54.79,76.71,74.09,54.95,54.0,59.18
2019-10-02,45.84,74.5,78.9,72.54,57.28,52.29
2019-10-03,61.23,64.17,76.97,43.02,72.21,58.57
2019-10-04,74.73,78.54,51.91,77.02,44.29,54.69
2019-10-05,77.72,50.83,41.3,56.0,67.55,70.38
2019-10-06,75.7,57.03,74.44,75.97,64.55,60.65
2019-10-07,54.51,56.71,41.81,50.4,70.07,46.75
2019-10-08,58.5,72.4,79.74,73.48,53.25,64.63
2019-10-09,53.99,77.24,75.97,48.39,52.4,43.92
2019-10-10,74.01,72.42,59.52,53.64,55.77,46.3
2019-10-11,51.13,58.57,43.57,53.35,76.07,40.03
2019-10-12,40.03,79.97,73.69,67.25,48.53,64.03
2019-10-13,78.95,68.67,67.76,76.74,75.32,74.44
2019-10-14,70.28,78.0,48.95,60.58,75.38,56.56
2019-10-15,78.15,61.54,57.33,46.05,56.17,41.89
2019-10-16,43.72,52.52,41.98,52.79,43.91,73.5
2019-10-17,63.04,70.27,62.9,68.41,70.49,56.88
2019-10-18,47.14,46.72,44.5,43.3,69.44,46.07
2019-10-19,66.94,61.0,54.45,62.64,67.36,56.35
2019-10-20,59.36,59.85,47.35,75.84,78.15,69.82
2019-10-21,63.08,57.41,61.74,41.78,58.02,68.75
2019-10-22,77.9,76.33,77.92,49.7,62.62,42.34
2019-10-23,60.76,47.47,47.55,67.5,73.92,49.53
2019-10-24,41.33,45.5,73.09,51.49,68.2,46.91
2019-10-25,63.13,48.67,73.36,56.77,70.72,64.54
2019-10-26,54.3,40.97,46.47,79.44,75.29,41.94
2019-10-27,60.37,71.53,46.19,57.77,50.7,57.12
2019-10-28,48.39,78.69,43.52,68.89,50.84,53.24
2019-10-29,54.88,41.12,42.45,68.19,70.95,67.92
2019-10-30,71.22,70.1,62.06,71.37,70.83,58.51
2019-10-31,49.45,40.12,50.62,44.17,64.35,77.75
2019-11-01,63.98,44.51,69.53,59.29,61.03,64.05
2019-11-02,66.12,41.26,70.86,62.8,56.85,70.9
2019-11-03,42.29,46.01,56.27,75.14,68.48,78.14
2019-11-04,66.93,56.54,70.9,49.05,59.16,70.25
2019-11-05,41.22,76.48,49.71,57.53,73.09,71.54
2019-11-06,72.21,41.58,43.05,74.76,75.45,53.87
2019-11-07,50.0,73.66,45.33,59.48,54.86,79.77
2019-11-08,79.63,43.09,53.06,73.7,66.16,50.18
2019-11-09,55.08,49.42,53.64,48.88,75.25,74.74
2019-11-10,46.03,72.21,64.48,66.99,42.21,46.32
2019-11-11,52.52,65.99,53.66,44.61,55.16,67.16
2019-11-12,76.94,40.15,66.07,65.38,52.91,78.99
2019-11-13,58.82,71.19,73.85,64.47,53.19,42.17
2019-11-14,55.05,52.5,42.29,60.7,75.05,50.31
2019-11-15,49.32,47.1,63.51,70.54,69.68,67.22
2019-11-16,65.66,49.05,48.92,77.92,75.31,42.36
2019-11-17,43.19,48.81,72.85,47.43,41.5,70.04
2019-11-18,68.28,79.45,77.79,44.02,52.59,68.32
2019-11-19,73.68,51.74,66.8,54.66,75.69,74.21
2019-11-20,48.99,67.67,47.88,66.31,53.68,70.07
2019-11-21,72.48,58.94,45.03,53.36,75.7,47.13
2019-11-22,43.49,43.82,59.23,67.8,76.31,72.42
2019-11-23,75.95,49.66,40.44,40.16,44.26,69.71
2019-11-24,53.41,76.36,49.22,45.36,50.94,54.37
2019-11-25,62.24,75.69,79.43,74.11,65.63,53.25
2019-11-26,40.24,78.0,55.15,47.37,63.05,67.92
2019-11-27,77.1,72.67,45.94,72.42,52.98,59.9
2019-11-28,43.39,41.43,64.4,51.12,61.16,52.46
2019-11-29,57.79,43.53,57.03,63.92,43.75,48.73
2019-11-30,52.83,47.36,41.78,47.72,52.49,40.27
2019-12-01,61.61,40.26,78.38,69.06,44.97,66.48
2019-12-02,71.95,56.14,68.16,74.15,55.36,66.66
2019-12-03,44.39,65.93,78.67,52.76,75.48,61.05
2019-12-04,57.63,71.97,60.19,65.53,40.25,72.78
2019-12-05,79.08,48.82,61.69,71.63,64.74,41.92
2019-12-06,49.01,45.55,41.92,75.0,79.02,49.85
2019-12-07,50.66,50.97,46.09,75.42,58.89,57.08
2019-12-08,50.58,78.27,74.89,56.26,54.84,51.31
2019-12-09,54.45,57.94,74.81,68.73,52.23,54.32
2019-12-10,67.38,47.5,74.07,73.44,45.07,71.43
2019-12-11,49.52,46.3,62.63,46.71,42.56,78.26
2019-12-12,45.23,48.5,62.39,77.11,56.95,71.47
2019-12-13,75.98,75.85,71.47,50.64,64.65,64.38
2019-12-14,64.7,57.16,71.45,49.36,62.83,68.13
2019-12-15,62.52,65.19,51.47,42.32,49.46,54.33
2019-12-16,40.94,58.24,60.53,66.83,43.21,59.24
2019-12-17,69.74,54.22,49.4,71.15,61.94,40.66
2019-12-18,48.71,62.04,42.77,57.18,58.06,74.67
2019-12-19,67.95,55.78,52.27,44.55,63.28,66.26
2019-12-20,60.35,71.02,54.07,50.14,43.12,64.03
2019-12-21,42.46,74.93,62.21,75.99,66.1,72.42
2019-12-22,66.83,77.62,79.88,55.7,60.04,54.79
2019-12-23,56.06,54.88,66.33,48.46,63.05,40.03
2019-12-24,55.14,48.33,56.44,58.68,52.88,51.3
2019-12-25,44.58,46.35,71.31,69.66,67.66,50.48
2019-12-26,44.17,76.34,70.99,43.26,52.38,53.54
2019-12-27,79.1,51.8,58.35,53.04,73.34,66.98
2019-12-28,57.45,73.4,53.54,42.52,75.32,46.87
2019-12-29,47.26,51.13,71.24,54.44,69.02,76.65
2019-12-30,64.67,58.06,46.87,45.19,63.46,48.99
2019-12-31,75.15,76.63,79.2,55.98,69.91,45.34
2020-01-01,71.96,46.68,51.77,67.45,65.15,51.33
2020-01-02,44.1,72.2,49.34,66.34,63.21,54.41
2020-01-03,79.01,55.9,50.33,74.57,73.51,75.82
2020-01-04,71.1,60.15,79.51,57.66,52.95,53.17
2020-01-05,77.01,58.05,76.37,58.06,58.12,77.61
2020-01-06,56.05,65.51,72.03,59.29,68.99,77.21
2020-01-07,63.0,65.92,61.62,76.42,52.23,45.73
2020-01-08,63.74,68.94,49.09,53.86,51.96,56.15
2020-01-09,62.62,60.81,63.72,65.63,71.52,56.2
2020-01-10,67.52,51.27,60.89,60.77,76.49,55.14
2020-01-11,61.07,77.36,71.42,52.23,48.11,59.36
2020-01-12,57.4,58.54,61.42,50.05,70.19,55.82
2020-01-13,41.79,55.51,64.88,48.62,70.34,66.32
2020-01-14,60.6,78.92,40.14,43.76,59.95,50.97
2020-01-15,77.86,77.08,53.73,48.3,45.59,66.21
2020-01-16,71.37,72.41,57.31,54.4,60.33,66.51
2020-01-17,43.58,73.28,68.45,62.04,45.42,66.5
2020-01-18,71.9,65.55,45.46,69.38,73.51,70.17
2020-01-19,47.63,53.25,79.73,77.91,50.38,45.53
2020-01-20,66.89,75.72,75.91,43.24,77.61,69.46
2020-01-21,48.58,59.04,61.04,72.55,45.88,42.97
2020-01-22,79.09,73.07,61.12,66.06,50.42,63.5
2020-01-23,50.0,78.94,52.72,51.33,72.63,47.07
2020-01-24,71.32,78.69,45.45,47.14,43.01,71.04
2020-01-25,75.84,72.93,70.28,65.14,68.61,56.12
2020-01-26,42.09,68.8,60.08,79.57,45.3,59.31
2020-01-27,59.63,69.73,74.03,78.92,70.83,61.89
2020-01-28,44.57,76.05,66.1,67.34,49.21,63.33
2020-01-29,48.82,69.53,46.32,71.45,59.0,41.92
2020-01-30,46.33,52.68,62.66,52.13,75.47,64.24
2020-01-31,79.04,50.0,45.8,56.39,74.65,63.13
2020-02-01,69.34,50.18,45.4,65.31,69.49,51.95
2020-02-02,43.06,46.76,40.19,74.78,53.08,52.05
2020-02-03,44.45,76.8,67.7,68.92,47.17,70.25
2020-02-04,68.7,60.66,56.88,60.45,71.23,55.28
2020-02-05,69.03,51.52,42.77,76.44,77.1,62.39
2020-02-06,49.78,62.89,41.91,63.8,62.49,58.68
2020-02-07,57.84,70.31,52.59,52.78,46.3,46.94
2020-02-08,49.11,56.05,62.73,52.09,68.46,70.21
2020-02-09,60.74,59.59,47.69,41.44,52.06,73.25
2020-02-10,71.21,73.35,59.06,74.49,47.05,62.51
2020-02-11,53.35,68.99,43.74,45.13,71.9,48.42
2020-02-12,68.52,76.03,54.19,63.85,43.88,68.04
2020-02-13,50.12,62.7,48.07,62.24,45.11,44.26
2020-02-14,77.96,52.59,68.8,67.18,52.35,48.86
2020-02-15,56.55,73.05,44.77,72.08,46.87,48.49
2020-02-16,40.46,56.33,62.14,74.0,64.95,67.32
2020-02-17,47.34,67.14,48.35,68.97,69.73,76.65
2020-02-18,44.64,63.98,56.25,64.99,60.72,57.71
2020-02-19,67.16,60.58,48.88,49.15,70.51,45.19
2020-02-20,61.06,63.78,68.82,71.89,71.48,52.96
2020-02-21,63.95,56.4,48.36,77.29,55.32,49.59
2020-02-22,78.03,40.11,73.53,41.56,49.83,74.81
2020-02-23,68.03,58.18,47.33,58.78,66.79,72.48
2020-02-24,40.75,73.81,64.19,64.83,62.31,77.72
2020-02-25,79.33,63.7,59.32,62.41,41.47,40.5
2020-02-26,62.69,54.0,55.69,77.92,71.86,52.22
2020-02-27,67.42,77.84,49.21,58.36,44.2,66.96
2020-02-28,52.24,75.33,58.94,49.86,41.63,42.69
2020-02-29,57.45,63.09,71.96,58.28,69.94,52.79
2020-03-01,49.89,58.59,75.2,52.48,68.59,74.7
2020-03-02,51.6,75.13,48.03,45.98,61.76,52.39
2020-03-03,50.81,48.59,59.24,48.39,69.22,46.17
2020-03-04,67.87,45.03,59.39,69.06,46.47,75.38
2020-03-05,49.48,54.24,70.09,46.85,66.24,52.62
2020-03-06,56.52,64.03,43.09,68.25,44.85,68.98
2020-03-07,40.04,62.49,59.78,59.25,54.57,75.75
2020-03-08,72.27,59.79,51.88,43.87,43.02,59.72
2020-03-09,55.74,63.96,45.65,44.67,79.79,69.28
2020-03-10,64.96,64.44,61.11,73.12,50.91,50.94
2020-03-11,55.11,78.7,69.86,49.18,47.31,66.39
2020-03-12,75.23,50.58,66.4,60.35,75.65,62.06
2020-03-13,58.6,43.91,78.83,58.8,77.53,43.16
2020-03-14,72.6,40.65,52.92,45.07,67.87,49.82
2020-03-15,57.56,63.32,70.16,58.36,74.77,79.92
2020-03-16,66.18,66.68,73.56,66.23,46.39,41.19
2020-03-17,72.11,67.52,43.6,54.71,69.98,60.85
2020-03-18,64.66,61.65,78.25,69.17,72.83,79.06
2020-03-19,64.43,61.42,52.77,70.2,72.33,68.31
2020-03-20,78.8,42.52,46.28,70.28,76.84,67.45
2020-03-21,44.51,46.3,53.98,55.23,60.21,78.22
2020-03-22,74.22,52.83,41.46,46.51,63.93,60.43
2020-03-23,40.41,74.7,67.34,76.72,76.27,44.31
