QueryDate,URL,MobileURL,Date,Title,Content-type: text/html; charset=utf-8
2019-01-17,https://uk.reuters.com/article/uk-oil-refineries-netherlands/shell-to-start-two-month-major-maintenance-at-europes-biggest-oil-refinery-idUKKCN1PB1CG,https://uk.mobile.reuters.com/article/amp/idUKKCN1PB1CG,2019-01-17 12:45:00,Shell to start two - month major maintenance at Europe biggest oil refinery,
2019-01-18,https://www.marketwatch.com/press-release/kinder-morgans-pending-kickoffs-for-elba-island-lng-permian-pipeline-among-24-billion-in-projects-an-industrial-info-news-alert-2019-01-18,,2019-01-18 15:15:00,"Kinder Morgan Pending Kickoffs for Elba Island LNG , Permian Pipeline Among $24 Billion in Projects , an Industrial Info News Alert",
2019-01-21,https://www.worldoil.com/news/2019/1/20/nigerias-state-oil-company-seeks-41-billion-to-lift-output,,2019-01-21 03:15:00,Nigeria state oil company seeks $4 . 1 billion to lift output,
2019-01-22,https://www.myjoyonline.com/business/2019/January-22nd/nigerias-15bn-oil-refinery-is-on-track-dangote.php,,2019-01-22 08:30:00,Nigeria $15bn oil refinery is on track - Dangote,
2019-01-23,https://www.bnnbloomberg.ca/alberta-targets-1-5-billion-upgrader-to-get-more-value-from-oil-1.1202181,,2019-01-23 03:30:00,Alberta targets $2B upgrader to improve province bitumen,
2019-01-24,https://www.thehindubusinessline.com/news/world/venezuela-oil-sanctions-likely-to-hit-some-us-refiners-hard/article26077063.ece,https://www.thehindubusinessline.com/news/world/venezuela-oil-sanctions-likely-to-hit-some-us-refiners-hard/article26077063.ece/amp/,2019-01-24 06:00:00,Venezuela oil sanctions likely to hit some U . S . refiners hard,
2019-01-25,https://www.pr-inside.com/india-solvents-market-pegged-to-reach-nearly-3-000-r4734402.htm,,2019-01-25 09:45:00,"India Solvents Market Pegged to Reach Nearly 3 , 000 , 000 tons in Sales by 2024 - End",
2019-01-28,https://ztribune.com/2019/01/27/today-jan-27-xtrackers-msci-united-kingdom-hdg-eqetf-dbuk-decreases-0-37/,,2019-01-28 08:45:00,Today Jan 27 Xtrackers MSCI United Kingdom Hdg EqETF ( DBUK ) Decreases 0 . 37 % ,
2019-01-29,https://www.investing.com/news/stock-market-news/netherlands-stocks-lower-at-close-of-trade-aex-down-082-1760065,https://m.investing.com/news/stock-market-news/netherlands-stocks-lower-at-close-of-trade-aex-down-082-1760065?ampMode=1,2019-01-29 01:45:00,Netherlands stocks lower at close of trade ; AEX down 0 . 82 % ,
2019-01-30,http://www.mining.com/web/transcanada-taps-rbc-gas-line-stake-sale-amid-new-opposition/,,2019-01-30 01:30:00,TransCanada taps RBC for gas line stake sale amid new opposition,
2019-01-31,https://news.yahoo.com/shell-rds-q4-earnings-beat-091109029.html,https://finance.yahoo.com/amphtml/news/shell-rds-q4-earnings-beat-091109029.html,2019-01-31 10:30:00,"Shell ( RDS . A ) Q4 Earnings Beat , Cash Flow Soars to $22B",
2019-02-01,https://www.marketscreener.com/ROYAL-DUTCH-SHELL-PLC-4005314/news/ROYAL-DUTCH-SHELL-PLC-Fourth-Quarter-2018-Interim-Dividend-Update-27947514/,https://www.marketscreener.com/amp/ROYAL-DUTCH-SHELL-PLC-4005314/news/ROYAL-DUTCH-SHELL-PLC-Fourth-Quarter-2018-Interim-Dividend-Update-27947514/,2019-02-01 08:30:00,ROYAL DUTCH SHELL PLC : - Fourth Quarter 2018 Interim Dividend Update,
2019-02-04,https://www.marketwatch.com/press-release/lubricants-market-is-forecast-to-cross-us-17658-billion-by-2024-2019-02-03,,2019-02-04 05:00:00,Lubricants Market is Forecast to Cross US$ 176 . 58 Billion by 2024,
2019-02-05,https://www.law360.com/articles/1125401/oil-cos-spar-over-dismissal-of-2-7b-nigerian-award-row,https://www.law360.com/amp/articles/1125401,2019-02-05 02:15:00,Oil Cos . Spar Over Dismissal Of $2 . 7B Nigerian Award Row,
2019-02-06,http://www.finsmes.com/2019/02/nordsol-receives-minority-investment-from-shell-ventures.html,,2019-02-06 11:00:00,Nordsol Receives Minority Investment from Shell Ventures,
2019-02-07,https://peakoil.com/forums/viewtopic.php?p=1413594,,2019-02-07 00:30:00,Stock Market Crash ! ( merged ) Pt . 4 : Economics & Finance - Page 12 - Peak Oil News and Message Boards,
2019-02-08,https://www.bloombergquint.com/business/france-aligns-with-u-s-to-oppose-gas-pipeline-in-blow-to-merkel,/business/france-aligns-with-u-s-to-oppose-gas-pipeline-in-blow-to-merkel.amp,2019-02-08 06:30:00,France Aligns With U . S . to Oppose Gas Pipeline in Blow to Merkel,
2019-02-11,https://www.marketwatch.com/press-release/royal-dutch-shell-plc-transaction-in-own-shares-2019-02-11,,2019-02-11 19:00:00,Royal Dutch Shell plc : Transaction in Own Shares,
2019-02-12,https://www.zawya.com/mena/en/markets/story/Shell_aims_to_increase_LNG_exports_from_Egypt__executive-TR20190212nB2N1YO02CX5/,https://www.zawya.com/mena/en/story/amp/TR20190212nB2N1YO02CX5/,2019-02-12 13:00:00,Shell aims to increase LNG exports from Egypt - executive,
2019-02-13,https://www.reuters.com/article/britain-press-ft/press-digest-financial-times-feb-13-idUSL3N20817H,https://mobile.reuters.com/article/amp/idUSL3N20817H,2019-02-13 02:15:00,PRESS DIGEST - Financial Times - Feb 13,
2019-02-14,https://www.vesselfinder.com/news/14623-Shell-And-Partners-Start-Deep-Water-Production-At-Lula-North-In-Brazil,,2019-02-14 08:30:00,Shell And Partners Start Deep - Water Production At Lula North In Brazil,
2019-02-15,https://www.reuters.com/article/us-equinor-renewables-usa/three-companies-bids-to-supply-new-york-with-offshore-wind-power-idUSKCN1Q32W8,https://mobile.reuters.com/article/amp/idUSKCN1Q32W8,2019-02-15 00:15:00,Three companies bids to supply New York with offshore wind power,
2019-02-18,https://www.reuters.com/article/britain-press-business-idUSL3N20D08X,https://mobile.reuters.com/article/amp/idUSL3N20D08X,2019-02-18 01:45:00,PRESS DIGEST - British Business - Feb 18,
2019-02-19,http://www.morningstar.co.uk/uk/news/AN_1550575814492982700/director-dealings-outgoing-shell-upstream-boss-sells-more-shares.aspx,,2019-02-19 12:30:00,DIRECTOR DEALINGS : Outgoing Shell Upstream Boss ... ,
2019-02-20,http://www.xinhuanet.com/english/2019-02/20/c_137836405.htm,,2019-02-20 05:30:00,Global energy giants seek opportunities in China : report - Xinhua,
2019-02-21,https://www.bloomberg.com/news/articles/2019-02-21/the-32-trillion-pushing-fossil-fuel-ceos-to-act-on-climate,,2019-02-21 02:00:00,The $32 Trillion Pushing Fossil Fuel CEOs to Act on Climate,
2019-02-22,https://www.reuters.com/article/venture-global-calcasieu-pass-lng-export/lng-supplier-venture-global-gets-approval-for-louisiana-facility-idUSL3N20H4AP,https://mobile.reuters.com/article/amp/idUSL3N20H4AP,2019-02-22 15:00:00,LNG supplier Venture Global gets approval for Louisiana facility,
2019-02-25,https://www.euroinvestor.com/news/2019/02/25/director-pdmr-shareholding/13979389,,2019-02-25 15:00:00,Director / PDMR Shareholding - Financial news Euroinvestor,
2019-02-26,https://apnews.com/299329c285d7447cb5aedb88983a88a3,,2019-02-26 06:15:00,"Monthly Global Upstream Review , December 2018 - Middle East Continues to Lead Global Crude and Condensate Production",
2019-02-27,https://www.finanznachrichten.de/nachrichten-2019-02/46074860-royal-dutch-shell-plc-voting-rights-and-capital-008.htm,,2019-02-27 14:00:00,ROYAL DUTCH SHELL PLC - Voting Rights and Capital,
2019-02-28,https://www.finanznachrichten.de/nachrichten-2019-02/46090004-royal-dutch-shell-plc-voting-rights-and-capital-008.htm,,2019-02-28 16:00:00,ROYAL DUTCH SHELL PLC - Voting Rights and Capital,
2019-03-01,https://www.finanznachrichten.de/nachrichten-2019-03/46095675-royal-dutch-shell-plc-opl-245-rds-plc-informed-of-dpp-preparing-to-prosecute-008.htm,,2019-03-01 07:45:00,ROYAL DUTCH SHELL PLC - OPL 245 - RDS plc informed of DPP preparing to prosecute,
2019-03-04,https://www.finanznachrichten.de/nachrichten-2019-03/46116142-royal-dutch-shell-plc-director-pdmr-shareholding-008.htm,,2019-03-04 17:45:00,ROYAL DUTCH SHELL PLC - Director / PDMR Shareholding,
2019-03-05,https://www.prnewswire.com:443/news-releases/diesel-exhaust-fluid-market-to-attain-valuation-of-us14-4-bn-by-2022---tmr-300806657.html,,2019-03-05 12:30:00,Diesel Exhaust Fluid Market to Attain Valuation of US$14 . 4 Bn by 2022,
2019-03-06,http://www.morningstar.co.uk/uk/news/AN_1551860229708095500/vivo-energy-annual-profit-rises-on-higher-revenue-and-volumes.aspx,,2019-03-06 09:45:00,Vivo Energy Annual Profit Rises On Higher Revenue ... ,
2019-03-07,https://www.rigzone.com/news/wire/china_oil_use_seen_peaking_in_2025-07-mar-2019-158322-article/,https://www.rigzone.com/news/wire/china_oil_use_seen_peaking_in_2025-07-mar-2019-158322-article/?amp,2019-03-07 14:30:00,China Oil Use Seen Peaking in 2025,
2019-03-08,http://www.morningstar.co.uk/uk/news/AN_1552027931582346100/press-shell-faces-dutch-refinery-strike-vote-on-labour-deal-rejection.aspx,,2019-03-08 07:30:00,PRESS : Shell Faces Dutch Refinery Strike Vote On ... ,
2019-03-11,https://www.thestar.com/business/2019/03/11/lng-canada-ceo-sees-no-scenario-that-would-stop-its-project.html,https://www.thestar.com/amp/business/2019/03/11/lng-canada-ceo-sees-no-scenario-that-would-stop-its-project.html,2019-03-11 15:45:00,LNG Canada CEO sees no scenario that would stop its project,
2019-03-12,https://finance.yahoo.com/news/shell-says-world-apos-top-200957970.html,https://finance.yahoo.com/amphtml/news/shell-says-world-apos-top-200957970.html,2019-03-12 05:15:00,Shell Says It Can Be World Top Power Producer and Make Money,
2019-03-13,http://news.trust.org/item/20190312185829-2vb9e/,http://mercury.postlight.com/amp?url=http://news.trust.org/item/20190312185829-2vb9e/,2019-03-13 00:30:00, ( OFFICIAL )- UPDATE 1 - U . S . energy exports a lever in trade ... ,
2019-03-14,https://www.prnewswire.com/news-releases/shell-publishes-annual-report-and-form-20-f-300812309.html,,2019-03-14 07:30:00,Shell Publishes Annual Report and Form 20 - F,
2019-03-15,https://www.sfgate.com/news/bayarea/article/Oakland-Sf-Appeal-For-Reinstatement-Of-Climate-13690235.php,https://m.sfgate.com/news/bayarea/article/Oakland-Sf-Appeal-For-Reinstatement-Of-Climate-13690235.php,2019-03-15 03:00:00,"Oakland , Sf Appeal For Reinstatement Of Climate Change Lawsuits Against 5 Oil Companies",
2019-03-18,https://news.yahoo.com/tank-fire-sends-black-smoke-plume-across-houston-223620344.html,https://news.yahoo.com/amphtml/tank-fire-sends-black-smoke-plume-across-houston-223620344.html,2019-03-18 00:00:00,Tank fire sends black smoke plume across Houston,
2019-03-19,https://www.fairfieldcurrent.com/news/2019/03/19/royal-dutch-shell-rds-b-vs-imperial-oil-imo-head-to-head-comparison.html,https://www.fairfieldcurrent.com/news/2019/03/19/royal-dutch-shell-rds-b-vs-imperial-oil-imo-head-to-head-comparison.html/amp,2019-03-19 01:00:00,Royal Dutch Shell ( RDS . B ) vs . Imperial Oil ( IMO ) Head - To - Head Comparison,
2019-03-20,https://www.rigzone.com/news/oil_gas/a/58279/iraq_pm_advisor_majors_will_accept_service_contracts/,,2019-03-20 01:30:00,Iraq PM Advisor : Majors Will Accept Service Contracts,
2019-03-21,https://af.reuters.com/article/commoditiesNews/idAFL1N2170YG,https://mobile.reuters.com/article/amp/af/idAFL1N2170YG,2019-03-21 13:15:00,"UPDATE 2 - Low prices spark interest in latest U . S . Gulf oil , gas lease sale | Agricultural Commodities",
2019-03-22,https://www.marketwatch.com/press-release/lubricants-market-to-grow-us-17658-billion-by-2024-2019-03-21,,2019-03-22 04:00:00,Lubricants Market to Grow US$ 176 . 58 Billion by 2024,
2019-03-25,https://www.finanznachrichten.de/nachrichten-2019-03/46290011-royal-dutch-shell-plc-director-declaration-008.htm,,2019-03-25 14:45:00,ROYAL DUTCH SHELL PLC - Director Declaration,
2019-03-26,https://markets.businessinsider.com/news/stocks/royal-dutch-shell-plc-transaction-in-own-shares-1028056806,https://markets.businessinsider.com/amp/news/royal-dutch-shell-plc-transaction-in-own-shares-1028056806,2019-03-26 00:15:00,Royal Dutch Shell plc : Transaction in Own Shares,
2019-03-27,https://www.finanznachrichten.de/nachrichten-2019-03/46312044-royal-dutch-shell-plc-director-pdmr-shareholding-008.htm,,2019-03-27 13:45:00,ROYAL DUTCH SHELL PLC - Director / PDMR Shareholding,
2019-03-28,https://www.msn.com/en-us/money/markets/oil-prices-dip-after-us-inventory-gain/ar-BBVgSk1,,2019-03-28 00:45:00,"Oil prices mixed , demand concerns cloud outlook",
2019-03-29,http://www.globenewswire.com/news-release/2019/03/29/1788482/0/en/Global-Synthetic-Lubricants-Market-Forecast-to-2023-Opportunities-in-Stringent-Environmental-Regulations-Advancements-in-Synthetic-Lubricants-Technologies.html,,2019-03-29 14:15:00,Global Synthetic Lubricants Market Forecast to 2023 : Opportunities in Stringent Environmental Regulations & Advancements in Synthetic Lubricants Technologies,
2019-04-01,https://finance.yahoo.com/news/saudi-oil-giant-aramco-starts-015653335.html,https://finance.yahoo.com/amphtml/news/saudi-oil-giant-aramco-starts-015653335.html,2019-04-01 05:00:00,Saudi Aramco Gets 5th - Highest Investment Rating ; Starts Roadshow,
2019-04-02,https://www.marketwatch.com/press-release/lubricants-market-to-reach-us-17658-billion-by-2024-2019-04-02,,2019-04-02 04:45:00,Lubricants Market to Reach US$ 176 . 58 Billion by 2024,
2019-04-03,http://the-japan-news.com/news/article/0005649836,,2019-04-03 11:45:00,Shell walks away from U . S . refining lobby,
2019-04-04,https://www.reuters.com/article/britain-press-business/press-digest-british-business-april-4-idUSL8N21M04H,https://mobile.reuters.com/article/amp/idUSL8N21M04H,2019-04-04 02:00:00,PRESS DIGEST - British Business - April 4,
2019-04-05,https://www.finanznachrichten.de/nachrichten-2019-04/46392380-royal-dutch-shell-plc-rds-advance-notice-of-q1-2019-results-announcement-008.htm,,2019-04-05 08:00:00,ROYAL DUTCH SHELL PLC - RDS advance notice of Q1 2019 results announcement,
2019-04-08,https://www.reuters.com/article/britain-press-ft/press-digest-financial-times-april-8-idUSL3N21Q01D,https://mobile.reuters.com/article/amp/idUSL3N21Q01D,2019-04-08 01:00:00,PRESS DIGEST - Financial Times - April 8,
2019-04-09,https://finance.yahoo.com/news/petrobras-divestment-goals-boost-8-214109145.html,https://finance.yahoo.com/amphtml/news/petrobras-divestment-goals-boost-8-214109145.html,2019-04-09 02:30:00,Petrobras Divestment Goals to Get Boost from $8 . 6B TAG Sale,
2019-04-10,https://finance.yahoo.com/news/shell-halfway-norco-louisiana-gasoline-040512943.html,https://finance.yahoo.com/amphtml/news/shell-halfway-norco-louisiana-gasoline-040512943.html,2019-04-10 04:30:00,"Shell halfway through Norco , Louisiana gasoline unit overhaul",
2019-04-11,https://www.prnewswire.com:443/news-releases/royal-dutch-shell-plc-notice-of-2019-annual-general-meeting-300830594.html,,2019-04-11 08:45:00,Royal Dutch Shell plc : Notice of 2019 Annual General Meeting,
2019-04-12,https://o.canada.com/commodities/energy/update-1-chevron-to-buy-anadarko-petroleum-for-33-bln/wcm/68224ee5-25d1-49fd-ac7f-061dd6f38b0b,https://beta.canada.com/commodities/energy/update-1-chevron-to-buy-anadarko-petroleum-for-33-bln/wcm/68224ee5-25d1-49fd-ac7f-061dd6f38b0b/amp,2019-04-12 12:00:00,"Chevron buys Anadarko in $33 - billion bet on shale oil , LNG , the biggest energy deal in four years",
2019-04-15,https://news.yahoo.com/fda-pulls-walmart-kroger-others-005330754.html,https://news.yahoo.com/amphtml/fda-pulls-walmart-kroger-others-005330754.html,2019-04-15 01:15:00,"FDA pulls up Walmart , Kroger , others for selling tobacco to minors",
2019-04-16,https://www.industryweek.com/leadership/shells-london-headquarters-vandalized-climate-protesters,,2019-04-16 00:45:00,Shell London Headquarters Vandalized by Climate Protesters,
2019-04-17,https://uk.reuters.com/article/usa-products-gasoline-west-coast/us-west-coast-gasoline-imports-from-europe-set-for-record-april-idUKL1N21Y0P9,https://uk.mobile.reuters.com/article/amp/idUKL1N21Y0P9,2019-04-17 00:45:00,U . S . West Coast gasoline imports from Europe set for record April,
2019-04-18,https://www.dailypolitical.com/2019/04/17/royal-dutch-shell-plc-adr-rds-a-receives-average-recommendation-of-hold-from-brokerages.html,https://www.dailypolitical.com/2019/04/17/royal-dutch-shell-plc-adr-rds-a-receives-average-recommendation-of-hold-from-brokerages.html/amp,2019-04-18 02:45:00,Royal Dutch Shell plc ADR ( RDS . A ) Receives Average Recommendation of  Hold  from Brokerages,
2019-04-19,http://www.chinadaily.com.cn/a/201904/19/WS5cb9372da3104842260b7236.html,,2019-04-19 04:45:00,Shell sees cooperation as key to expansion - Chinadaily . com . cn,
2019-04-22,https://www.unionleader.com/news/business/u-s-refiners-planning-major-plant-overhauls-in-second-quarter/article_1f79504d-2a4b-58dd-9cfe-537c81d4dd1b.html,,2019-04-22 01:15:00,U . S . refiners planning major plant overhauls in second quarter,
2019-04-23,https://menafn.com/1098426528/Alpha-Olefins-Market-Future-Growth-by-Key-ManufacturersChevron-Phillips-Chemical-Company-Exxon-Mobil-Corporation-INEOS-AG-Mitsubishi-Chemical-Corporation-PJSC-Nizhnekamskneftekhim,,2019-04-23 07:15:00,"Alpha Olefins Market Future Growth by Key Manufacturers - Chevron Phillips Chemical Company , Exxon Mobil Corporation , INEOS AG , Mitsubishi Chemical Corporation , PJSC Nizhnekamskneftekhim",
2019-04-24,https://www.wkrb13.com/2019/04/24/royal-dutch-shell-plc-adr-forecasted-to-earn-q2-2020-earnings-of-1-50-per-share-rds-a.html,https://www.wkrb13.com/2019/04/24/royal-dutch-shell-plc-adr-forecasted-to-earn-q2-2020-earnings-of-1-50-per-share-rds-a.html/amp,2019-04-24 06:15:00,Royal Dutch Shell plc ADR Forecasted to Earn Q2 2020 Earnings of $1 . 50 Per Share ( RDS . A ) ,
2019-04-25,https://finance.yahoo.com/news/iraq-deliver-third-biggest-chunk-230000032.html,https://finance.yahoo.com/amphtml/news/iraq-deliver-third-biggest-chunk-230000032.html,2019-04-25 00:15:00,"Iraq Will Deliver Third - Biggest Chunk of New Oil Over Next Decade , IEA Says",
2019-04-26,https://menafn.com/1098441046/Iraq-is-on-track-to-deliver-3rdbiggest-chunk-of-new-oil-to-2030-says-IEA,,2019-04-26 03:45:00,"Iraq is on track to deliver 3rd - biggest chunk of new oil to 2030 , says IEA",
2019-04-29,https://finance.yahoo.com/news/saudi-aramco-sees-shale-gas-085724675.html,https://finance.yahoo.com/amphtml/news/saudi-aramco-sees-shale-gas-085724675.html,2019-04-29 09:45:00,Saudi Aramco Sees Shale Gas as Kingdom Next Energy Bonanza,
2019-04-30,https://www.theedgemarkets.com/article/petronas-looks-americas-increase-oil-reserves,,2019-04-30 03:15:00,Petronas looks to Americas to increase oil reserves,
2019-05-01,https://www.thestar.com.my/business/business-news/2019/05/01/petronas-to-tap-oil-reserves-in-the-americas/,,2019-05-01 00:45:00,Petronas to tap oil reserves in the Americas - Business News,
2019-05-02,https://www.prnewswire.com/news-releases/shell-announces-the-next-tranche-of-the-share-buyback-programme-300842561.html,,2019-05-02 07:00:00,Shell Announces the Next Tranche of the Share Buyback Programme,
2019-05-03,https://www.businesswire.com/news/home/20190503005067/en/Energy-Transfer-Shell-Issue-Invitation-Tender-Lake,,2019-05-03 12:30:00,"Energy Transfer , Shell Issue Invitation to Tender for Lake Charles LNG Project",
2019-05-06,https://www.thestar.com.my/business/business-news/2019/05/06/forgers-forcing-us$9-trillion-business-into-digital-age/,,2019-05-06 09:15:00,Forgers forcing US$9 trillion business into digital age - Business News,
2019-05-07,https://www.marketwatch.com/press-release/lubricants-market-share-will-exceed-us-17658-billion-by-2024-2019-05-06,,2019-05-07 04:00:00,Lubricants Market Share will Exceed US$ 176 . 58 Billion by 2024,
2019-05-08,http://www.dailystar.com.lb/Jonathan-Browning-and-Chiara-Albanese.ashx,,2019-05-08 01:15:00,Jonathan Browning and Chiara Albanese | Author Page,
2019-05-09,https://uk.reuters.com/article/uk-malaysia-oil-shell/shell-to-shut-malaysia-oilfield-in-july-for-maintenance-kimanis-exports-to-drop-sources-idUKKCN1SF0JK,https://uk.mobile.reuters.com/article/amp/idUKKCN1SF0JK,2019-05-09 07:30:00,Shell to shut Malaysia oilfield in July for maintenance ; Kimanis exports to drop - sources,
2019-05-10,https://www.wkrb13.com/2019/05/10/royal-dutch-shells-rdsa-outperform-rating-reiterated-at-credit-suisse-group.html,https://www.wkrb13.com/2019/05/10/royal-dutch-shells-rdsa-outperform-rating-reiterated-at-credit-suisse-group.html/amp,2019-05-10 06:00:00,Royal Dutch Shell ( RDSA ) Outperform Rating Reiterated at Credit Suisse Group,
2019-05-13,https://www.marketwatch.com/story/africa-deal-extends-french-giant-totals-lng-push-2019-05-12,https://www.marketwatch.com/amp/story/guid/F4106620-01B7-4031-BCE5-D6262F74D7E3,2019-05-13 03:15:00,Africa deal extends French giant Total LNG push,
2019-05-14,https://finance.yahoo.com/news/brazil-energy-group-cosan-net-235708469.html,https://finance.yahoo.com/amphtml/news/brazil-energy-group-cosan-net-235708469.html,2019-05-14 00:30:00,Brazil energy group Cosan net income up 14 . 5 % - filing,
2019-05-15,https://www.marketwatch.com/press-release/petroleum-coke-market-is-ready-to-grow-us-330-billion-by-2024-2019-05-14,,2019-05-15 02:45:00,Petroleum Coke Market Is Ready To Grow US$ 33 . 0 billion by 2024,
2019-05-16,https://www.bloombergquint.com/china/china-enlisted-for-stranded-gas-venture-ditched-by-global-majors,/amp/china/china-enlisted-for-stranded-gas-venture-ditched-by-global-majors,2019-05-16 00:45:00,China Enlisted for Stranded Gas Venture Ditched by Global Majors,
2019-05-17,https://www.marketwatch.com/press-release/royal-dutch-shell-plc---proposal-to-withdraw-resolution-22-at-2019-annual-general-meeting-2019-05-17,,2019-05-17 07:30:00,Royal Dutch Shell plc - Proposal to Withdraw Resolution 22 at 2019 Annual General Meeting,
2019-05-20,https://www.marketwatch.com/press-release/base-oil-market-is-ready-to-grow-usd-42-billion-by-2024-2019-05-20,,2019-05-20 09:45:00,Base Oil Market Is Ready To Grow USD 42 billion by 2024,
2019-05-21,https://finance.yahoo.com/news/bp-staff-home-greenpeace-blockades-225029266.html,https://finance.yahoo.com/amphtml/news/bp-staff-home-greenpeace-blockades-225029266.html,2019-05-21 00:00:00,BP Staff Work From Home as Greenpeace Blockades London HQ,
2019-05-22,https://www.reuters.com/article/us-brazil-petrobras-idUSKCN1SS00C,https://mobile.reuters.com/article/amp/idUSKCN1SS00C,2019-05-22 00:45:00,Brazil Petrobras expresses interest in two areas in  TOR  auction,
2019-05-23,https://www.marketwatch.com/press-release/quest-ccs-facility-reaches-major-milestone-captures-and-stores-four-million-tonnes-of-co2-2019-05-23,,2019-05-23 09:45:00,Quest CCS Facility Reaches Major Milestone : Captures and Stores Four Million Tonnes of CO2,
2019-05-24,http://www.newswit.com/.nrg/2019-05-24/89f4a88351b91fbaeb5d4c746860c59b/,,2019-05-24 02:00:00,Shell starts production at Appomattox in the Gulf of Mexico,
2019-05-27,https://finance.yahoo.com/news/australia-apos-gas-industry-faces-200000469.html,https://finance.yahoo.com/amphtml/news/australia-apos-gas-industry-faces-200000469.html,2019-05-27 05:15:00,Australia Gas Industry Faces Climate Test Despite Election Win,
2019-05-28,http://www.digitaljournal.com/pr/4321851,,2019-05-28 11:00:00,"Planned LNG Market : Comprehensive study explores Huge Growth in Future | Leading Key Players - Chevron , Petrobras , Southern Union - Press Release",
2019-05-29,https://www.eenews.net/energywire/2019/05/28/stories/1060410011,,2019-05-29 01:30:00,CARBON CAPTURE : Oil sands project hits milestone early,
2019-05-30,https://www.rigzone.com/news/wire/shell_plans_south_africa_oil_expansion-29-may-2019-158941-article,https://www.rigzone.com/news/wire/shell_plans_south_africa_oil_expansion-29-may-2019-158941-article/?amp,2019-05-30 01:45:00,Shell Plans South Africa Oil Expansion,
