date,AAPL,MSFT,AMZN,TSLA,GOOGL,S&P500
2019-02-15,66.37,68.15,50.69,63.18,57.1,58.33
2019-02-16,40.26,61.65,50.15,47.38,74.05,58.94
2019-02-17,65.07,65.52,78.62,55.67,52.57,77.18
2019-02-18,77.91,49.04,48.32,42.01,55.98,66.29
2019-02-19,54.93,51.56,79.94,47.59,59.88,47.78
2019-02-20,65.9,68.06,64.62,65.32,79.27,70.57
2019-02-21,76.69,67.55,78.18,49.93,47.54,42.7
2019-02-22,50.11,49.81,60.37,63.49,58.3,78.85
2019-02-23,52.31,55.88,55.04,71.06,56.09,79.93
2019-02-24,55.65,49.97,72.25,51.39,43.43,55.39
2019-02-25,46.88,40.94,79.38,43.67,49.53,59.56
2019-02-26,78.36,43.29,44.96,40.2,53.14,71.84
2019-02-27,59.85,67.38,44.87,61.54,46.88,77.74
2019-02-28,40.91,44.09,61.99,40.09,44.75,70.78
2019-03-01,59.27,77.0,48.38,56.05,66.91,47.84
2019-03-02,55.94,71.45,77.55,62.62,51.35,65.84
2019-03-03,66.83,55.01,78.53,53.58,49.58,54.68
2019-03-04,43.59,58.1,70.65,43.74,55.63,59.76
2019-03-05,64.5,43.85,72.81,46.99,49.83,54.69
2019-03-06,45.13,55.58,78.39,62.11,41.31,57.54
2019-03-07,65.17,75.78,70.54,70.84,51.13,64.92
2019-03-08,61.36,59.86,72.13,55.66,74.6,56.28
2019-03-09,66.1,63.3,72.51,43.81,64.91,66.53
2019-03-10,53.91,73.34,71.48,61.61,75.37,41.3
2019-03-11,70.22,78.12,57.1,43.34,70.96,54.59
2019-03-12,64.26,53.15,61.65,73.86,48.63,69.14
2019-03-13,79.41,72.45,61.68,60.02,63.16,63.32
2019-03-14,47.86,50.31,59.83,50.74,50.27,51.51
2019-03-15,55.45,47.59,60.74,76.4,78.31,63.14
2019-03-16,64.83,70.79,55.65,41.97,44.54,67.16
2019-03-17,47.05,66.28,58.74,46.46,49.01,72.46
2019-03-18,57.08,58.41,62.9,76.39,47.95,42.56
2019-03-19,62.68,66.01,68.64,75.4,59.65,72.1
2019-03-20,47.41,42.33,65.92,72.95,71.0,77.12
2019-03-21,44.88,43.12,61.15,53.38,63.54,46.66
2019-03-22,61.13,43.29,54.06,64.56,48.49,61.18
2019-03-23,63.89,40.2,78.42,50.24,62.4,48.46
2019-03-24,54.04,40.78,61.08,41.53,42.43,44.65
2019-03-25,55.21,54.87,55.12,40.97,53.9,67.19
2019-03-26,52.13,70.45,57.62,40.4,53.97,50.66
2019-03-27,40.71,63.83,65.44,72.29,59.43,74.69
2019-03-28,73.19,75.8,40.1,55.31,65.11,58.37
2019-03-29,43.66,78.94,44.56,45.21,61.17,53.5
2019-03-30,43.08,70.3,71.59,52.71,56.01,69.31
2019-03-31,70.35,75.93,74.6,48.58,48.96,61.69
2019-04-01,68.75,48.52,40.47,54.22,69.95,52.01
2019-04-02,73.69,50.82,60.32,73.52,43.69,51.95
2019-04-03,48.73,63.21,71.33,73.37,70.54,40.07
2019-04-04,58.13,78.65,70.25,70.44,48.96,46.48
2019-04-05,78.54,66.89,66.25,45.84,75.37,50.68
2019-04-06,46.29,60.68,41.23,47.68,74.81,58.15
2019-04-07,73.99,48.87,40.47,41.05,40.88,70.69
2019-04-08,62.58,73.21,44.41,71.25,78.15,69.18
2019-04-09,77.24,62.08,78.39,44.15,79.32,52.48
2019-04-10,58.25,70.21,53.07,76.08,48.56,68.31
2019-04-11,64.95,53.13,65.26,54.26,65.99,69.95
2019-04-12,68.69,77.61,60.92,40.46,45.24,50.41
2019-04-13,44.3,62.89,67.56,46.38,75.28,56.44
2019-04-14,54.81,74.68,44.63,56.68,62.23,78.71
2019-04-15,66.1,44.34,48.76,57.66,42.86,76.13
2019-04-16,61.68,57.18,44.55,57.9,45.46,72.87
2019-04-17,51.07,49.32,61.72,42.46,43.75,61.52
2019-04-18,70.11,61.58,45.02,47.13,48.71,44.28
2019-04-19,71.79,58.07,60.18,73.33,79.73,78.48
2019-04-20,56.28,73.98,46.64,57.87,48.8,58.18
2019-04-21,44.13,61.39,47.97,42.59,73.32,64.51
2019-04-22,72.36,68.88,44.32,61.88,71.66,52.51
2019-04-23,62.28,55.96,70.17,51.69,46.18,41.05
2019-04-24,66.22,69.88,70.09,74.25,50.06,61.54
2019-04-25,52.69,73.57,41.43,41.39,66.05,71.28
2019-04-26,44.33,70.94,70.43,57.67,57.96,50.65
2019-04-27,42.97,76.48,46.85,64.97,65.46,58.59
2019-04-28,44.71,54.18,44.39,71.74,48.32,79.58
2019-04-29,71.9,70.22,65.66,59.75,49.57,56.7
2019-04-30,62.45,57.2,50.15,75.78,60.8,57.47
2019-05-01,52.47,45.42,69.99,74.68,65.32,79.27
2019-05-02,43.59,59.34,67.56,70.89,76.81,58.94
2019-05-03,45.2,78.83,69.84,46.43,66.22,66.62
2019-05-04,55.87,75.61,72.96,47.29,68.31,56.26
2019-05-05,73.04,45.06,78.58,63.02,74.12,42.19
2019-05-06,55.69,40.56,56.08,52.06,48.55,63.55
2019-05-07,56.49,42.32,67.66,61.65,43.73,56.03
2019-05-08,65.12,55.97,56.82,46.94,77.38,58.43
2019-05-09,58.71,78.47,66.18,43.87,74.88,74.46
2019-05-10,60.54,73.56,62.98,47.7,69.62,56.16
2019-05-11,54.83,65.06,50.24,64.3,77.41,61.52
2019-05-12,76.82,40.12,74.52,54.62,62.1,63.74
2019-05-13,75.79,65.41,47.39,76.49,52.46,45.0
2019-05-14,48.39,62.61,57.79,60.19,54.38,52.1
2019-05-15,75.54,66.98,59.9,41.25,59.15,47.78
2019-05-16,48.56,70.43,54.93,75.68,65.26,44.92
2019-05-17,61.18,52.17,66.47,64.75,71.23,40.52
2019-05-18,62.53,72.31,52.11,69.17,67.94,53.4
2019-05-19,43.3,44.06,49.16,47.39,51.69,51.57
2019-05-20,57.48,76.82,46.22,50.45,61.26,46.44
2019-05-21,55.62,66.68,64.29,65.38,43.52,73.54
2019-05-22,69.99,71.44,68.79,71.62,40.46,52.01
2019-05-23,46.43,58.12,54.62,52.52,47.54,49.96
2019-05-24,75.75,47.93,57.12,55.63,78.61,77.93
2019-05-25,47.49,72.24,45.06,43.72,47.34,67.81
2019-05-26,63.49,46.85,71.99,57.07,57.45,66.53
2019-05-27,69.81,58.94,63.69,71.68,66.09,77.45
2019-05-28,73.28,49.2,48.25,66.0,53.63,72.7
2019-05-29,79.46,77.08,40.19,78.77,55.82,62.83
2019-05-30,72.31,73.01,42.51,65.65,72.23,69.71
2019-05-31,77.76,61.31,52.13,70.38,78.7,50.42
2019-06-01,47.27,66.09,76.96,67.1,46.01,59.49
2019-06-02,56.81,67.56,71.64,60.53,70.72,75.44
2019-06-03,59.51,67.46,46.65,57.07,65.9,59.06
2019-06-04,53.06,64.88,61.79,43.58,50.19,53.01
2019-06-05,61.67,60.76,77.1,60.14,64.58,78.14
2019-06-06,60.44,71.41,63.85,65.12,69.95,66.57
2019-06-07,68.65,63.52,66.29,67.34,60.11,72.26
2019-06-08,64.85,64.82,52.02,48.03,64.71,66.36
2019-06-09,52.98,77.19,49.85,61.96,71.39,55.37
2019-06-10,46.47,70.11,70.02,69.32,40.97,62.62
2019-06-11,78.77,42.15,74.05,58.88,59.99,61.89
2019-06-12,49.92,65.02,49.01,76.08,53.47,40.81
2019-06-13,47.89,69.81,58.46,62.82,59.85,50.37
2019-06-14,68.6,66.1,47.48,65.72,45.63,74.56
2019-06-15,54.93,60.84,49.46,71.63,43.22,63.01
2019-06-16,72.93,43.26,70.23,71.95,76.4,63.28
2019-06-17,46.46,67.25,48.06,73.51,75.0,53.4
2019-06-18,59.85,77.46,77.11,47.85,62.68,42.54
2019-06-19,61.98,72.36,76.48,46.09,51.34,54.72
2019-06-20,72.6,64.04,50.94,58.3,41.47,54.71
2019-06-21,60.24,76.28,53.87,73.51,61.95,40.85
2019-06-22,41.34,61.22,50.21,50.19,46.5,42.85
2019-06-23,68.31,48.26,65.3,66.21,73.51,43.45
2019-06-24,40.48,50.62,58.49,71.87,62.22,57.44
2019-06-25,54.17,70.26,56.7,67.26,77.85,77.01
2019-06-26,63.1,65.94,57.23,68.31,68.26,40.67
2019-06-27,78.21,76.58,66.15,75.73,77.95,52.23
2019-06-28,52.48,62.98,52.07,55.08,45.15,58.72
2019-06-29,41.76,63.31,50.33,57.02,55.61,57.6
2019-06-30,72.18,46.32,41.55,47.05,56.85,74.63
2019-07-01,51.83,40.06,43.35,50.62,66.13,68.47
2019-07-02,77.77,46.74,49.18,53.52,78.8,73.16
2019-07-03,58.4,69.87,48.54,75.54,72.58,74.11
2019-07-04,58.36,76.62,44.7,57.56,44.79,79.29
2019-07-05,58.4,44.68,63.09,46.88,66.94,44.46
2019-07-06,67.68,61.78,50.31,69.6,67.19,65.69
2019-07-07,57.3,51.43,73.01,41.61,48.41,57.1
2019-07-08,54.42,78.52,54.58,42.74,40.87,52.9
2019-07-09,54.44,78.86,63.58,47.8,77.63,68.81
2019-07-10,70.54,52.9,47.39,48.97,53.89,41.33
2019-07-11,77.31,50.28,60.19,66.68,41.17,41.16
2019-07-12,71.74,74.37,49.98,62.46,45.8,48.96
2019-07-13,67.6,43.05,77.75,72.74,70.68,67.28
2019-07-14,49.44,71.7,67.82,45.09,67.93,47.21
2019-07-15,77.5,63.34,45.76,42.31,64.97,78.54
2019-07-16,56.67,69.03,58.77,68.21,44.64,50.22
2019-07-17,78.38,68.97,76.35,56.18,46.58,63.92
2019-07-18,40.15,66.89,53.12,61.58,67.21,53.23
2019-07-19,47.23,57.98,76.41,76.65,79.46,65.6
2019-07-20,46.92,60.33,55.49,40.29,54.59,73.26
2019-07-21,46.19,54.56,52.42,62.57,77.83,46.05
2019-07-22,67.1,49.42,65.97,55.06,56.9,76.82
2019-07-23,73.63,49.77,69.33,43.04,78.54,65.17
2019-07-24,57.76,51.79,73.63,70.82,70.27,61.49
2019-07-25,41.15,79.32,59.4,51.88,54.02,46.32
2019-07-26,41.39,46.6,58.82,68.99,71.66,72.89
2019-07-27,48.19,58.23,59.8,52.71,50.52,60.25
2019-07-28,45.97,61.99,62.96,65.62,48.7,43.3
2019-07-29,51.77,47.79,53.96,66.29,45.62,64.87
2019-07-30,65.84,48.64,62.98,68.13,73.77,54.27
2019-07-31,76.23,57.13,52.96,57.1,49.01,73.08
2019-08-01,60.18,71.27,49.62,56.13,68.48,73.07
2019-08-02,65.37,58.16,50.07,63.19,68.4,70.96
2019-08-03,69.81,59.68,62.48,66.36,67.82,48.15
2019-08-04,74.79,58.15,51.37,56.26,41.92,42.04
2019-08-05,67.99,43.53,67.26,74.41,72.97,79.37
2019-08-06,62.71,52.21,43.08,61.04,42.04,56.4
2019-08-07,47.87,44.26,71.05,71.96,49.27,46.31
2019-08-08,66.81,60.58,44.62,74.23,62.08,64.51
2019-08-09,55.85,61.28,65.98,79.64,40.49,42.93
2019-08-10,79.23,67.65,49.56,74.81,44.21,48.29
2019-08-11,52.46,71.42,49.67,42.68,40.05,66.97
2019-08-12,66.56,68.48,68.6,50.8,79.0,58.15
2019-08-13,74.0,48.94,47.04,74.64,68.08,60.22
2019-08-14,54.89,60.49,71.31,62.24,43.93,76.14
2019-08-15,68.39,73.66,77.09,46.29,52.51,79.04
2019-08-16,52.03,69.66,56.99,44.26,53.93,66.33
2019-08-17,44.36,56.35,79.75,68.57,41.08,73.96
2019-08-18,46.04,57.2,71.23,57.95,66.45,78.57
2019-08-19,79.92,40.95,63.47,60.66,54.16,78.51
2019-08-20,79.03,71.6,71.07,51.69,62.25,50.8
2019-08-21,77.42,68.57,57.97,67.81,50.77,65.2
2019-08-22,61.3,76.18,66.7,70.27,68.99,51.12
2019-08-23,43.36,74.97,57.98,68.24,50.3,70.62
2019-08-24,66.73,46.24,74.93,74.91,53.16,46.38
2019-08-25,51.19,64.19,49.85,77.41,46.71,56.65
2019-08-26,68.87,45.73,53.3,76.31,69.65,53.26
2019-08-27,77.82,68.91,58.72,47.54,79.95,67.17
2019-08-28,56.68,40.8,60.56,78.9,40.25,65.79
2019-08-29,69.54,62.36,70.23,47.87,54.2,46.61
2019-08-30,55.09,44.7,49.54,67.52,75.49,75.4
2019-08-31,44.52,44.4,40.06,60.4,69.22,79.32
2019-09-01,66.98,66.36,55.6,70.55,60.34,45.3
2019-09-02,73.72,62.6,53.86,76.73,77.57,53.73
2019-09-03,59.47,46.47,46.31,72.47,55.29,60.98
2019-09-04,50.19,64.23,63.99,41.05,44.9,57.56
2019-09-05,75.38,63.06,64.12,42.46,51.32,75.65
2019-09-06,49.64,51.38,52.63,62.87,63.1,42.39
2019-09-07,41.68,59.47,68.62,69.25,72.84,70.54
2019-09-08,50.37,64.13,79.89,70.52,65.64,71.4
2019-09-09,74.79,58.07,63.38,72.8,40.08,49.2
2019-09-10,44.3,75.57,56.63,50.74,47.28,76.92
2019-09-11,73.69,40.7,71.66,40.39,70.32,71.14
2019-09-12,65.81,53.66,66.59,55.42,63.6,57.44
2019-09-13,57.17,47.62,55.28,52.9,60.66,61.28
2019-09-14,62.48,64.69,46.71,76.04,53.06,59.8
2019-09-15,79.76,71.49,71.84,40.09,78.5,73.83
2019-09-16,55.86,76.32,42.43,50.14,72.3,78.53
2019-09-17,60.62,64.25,59.05,41.2,49.33,64.79
2019-09-18,61.85,48.12,74.79,78.43,48.36,71.23
2019-09-19,73.06,43.38,62.78,53.29,62.32,75.12
2019-09-20,76.42,53.47,79.54,67.88,59.4,42.91
2019-09-21,51.26,56.08,53.98,59.08,68.45,70.07
2019-09-22,76.54,51.41,59.26,79.98,43.96,44.57
2019-09-23,47.42,52.29,63.33,43.21,59.65,47.6
2019-09-24,77.25,65.18,60.45,62.07,74.47,58.12
2019-09-25,53.45,60.75,66.4,51.38,75.78,57.64
2019-09-26,57.91,74.75,48.98,53.3,54.4,43.71
2019-09-27,78.54,40.67,42.34,69.92,45.48,53.82
2019-09-28,49.92,74.88,46.66,49.9,41.39,57.58
2019-09-29,46.45,70.09,57.33,59.2,66.3,62.11
2019-09-30,60.23,44.16,79.59,44.94,51.14,47.67
2019-10-01,59.77,62.53,62.11,60.67,46.91,56.03
2019-10-02,67.34,43.35,50.69,67.07,49.54,58.49
2019-10-03,46.86,60.22,55.23,50.28,61.4,74.0
2019-10-04,74.99,54.44,67.76,75.29,55.41,40.82
2019-10-05,48.65,49.26,76.19,76.05,63.65,77.48
2019-10-06,75.96,75.98,76.65,51.78,55.35,72.96
2019-10-07,42.18,61.18,53.98,72.93,62.87,52.62
2019-10-08,43.48,61.42,74.3,64.17,40.85,42.35
2019-10-09,59.32,75.24,47.01,52.69,72.26,78.51
2019-10-10,51.75,61.69,40.17,54.86,78.73,56.04
2019-10-11,65.07,52.49,63.41,64.04,74.26,46.6
2019-10-12,44.87,71.78,59.58,43.53,64.5,43.38
2019-10-13,56.34,63.23,59.64,68.35,76.9,44.92
2019-10-14,58.31,46.75,53.53,43.01,61.74,43.24
2019-10-15,55.05,75.56,67.71,61.5,47.87,60.76
2019-10-16,46.03,64.81,53.88,49.19,61.82,59.92
2019-10-17,42.99,51.43,42.61,53.18,68.94,75.77
2019-10-18,47.45,78.55,44.29,48.4,71.28,69.3
2019-10-19,46.5,76.65,69.0,64.11,75.56,54.96
2019-10-20,55.97,46.99,70.46,55.03,72.77,71.81
2019-10-21,58.95,77.45,54.51,77.59,55.37,75.36
2019-10-22,44.46,55.34,75.6,44.03,45.71,73.31
2019-10-23,73.55,65.13,72.85,65.79,55.36,56.69
2019-10-24,47.03,55.9,43.8,60.64,64.41,48.77
2019-10-25,44.39,68.05,51.83,78.29,49.1,60.12
2019-10-26,62.57,49.08,74.38,53.86,65.16,47.63
2019-10-27,77.23,63.85,43.02,63.01,56.68,53.83
2019-10-28,50.4,50.03,75.93,61.07,72.47,68.16
2019-10-29,58.85,51.43,57.9,52.82,70.94,50.35
2019-10-30,62.81,56.57,59.23,75.93,54.41,57.69
2019-10-31,50.96,52.06,60.85,64.79,56.72,60.02
2019-11-01,77.9,44.4,79.78,50.48,55.64,47.97
2019-11-02,62.17,50.92,68.54,53.19,66.89,42.45
2019-11-03,75.63,71.51,51.89,43.5,70.05,47.34
2019-11-04,52.25,67.7,53.75,79.49,58.79,64.22
2019-11-05,49.69,63.63,75.65,74.94,49.88,44.28
2019-11-06,65.65,76.58,55.28,77.44,68.39,40.68
2019-11-07,75.38,49.87,40.91,76.55,67.83,62.56
2019-11-08,77.09,75.46,43.05,64.74,74.75,78.34
2019-11-09,66.92,55.16,59.51,63.02,63.71,73.65
2019-11-10,43.57,51.65,68.54,77.97,49.04,71.56
2019-11-11,73.17,58.86,72.6,73.84,64.23,64.9
2019-11-12,50.14,69.14,74.37,60.09,68.46,45.6
2019-11-13,66.68,58.82,72.8,68.04,54.98,48.41
2019-11-14,70.89,79.25,46.23,69.0,61.29,52.81
2019-11-15,78.56,68.49,58.67,64.2,70.42,62.85
2019-11-16,77.46,49.38,49.55,63.41,40.06,73.57
2019-11-17,63.04,60.83,66.99,61.74,40.03,75.93
2019-11-18,74.62,55.12,42.97,46.17,68.7,54.04
2019-11-19,48.32,60.96,74.46,57.8,66.98,76.3
2019-11-20,79.53,68.27,40.36,77.02,79.28,51.04
2019-11-21,47.49,66.19,55.27,74.75,50.76,50.1
2019-11-22,78.73,53.62,60.51,70.68,74.82,69.15
2019-11-23,60.91,77.06,75.03,51.92,41.7,49.69
2019-11-24,56.93,57.16,50.45,51.45,46.24,52.61
2019-11-25,75.57,48.75,73.29,42.85,53.1,46.45
2019-11-26,74.01,58.81,59.28,62.14,72.28,57.52
2019-11-27,72.22,68.88,74.55,78.37,51.47,43.61
2019-11-28,69.35,49.69,54.52,41.39,68.72,40.51
2019-11-29,47.98,60.0,59.99,46.98,45.84,65.63
2019-11-30,72.19,62.37,46.22,47.46,69.76,46.38
2019-12-01,54.56,73.05,46.23,43.23,55.04,48.33
2019-12-02,61.14,75.36,74.4,76.22,45.04,78.09
2019-12-03,41.39,62.6,40.95,40.61,64.99,61.97
2019-12-04,68.8,67.33,45.2,64.22,77.98,77.45
2019-12-05,60.49,46.78,59.04,55.58,47.03,60.82
2019-12-06,65.45,42.12,48.65,74.6,42.84,63.4
2019-12-07,41.15,53.08,76.96,73.46,75.06,68.69
2019-12-08,57.36,42.68,63.32,77.22,48.8,42.45
2019-12-09,64.62,51.6,46.37,71.89,64.03,58.29
2019-12-10,41.81,70.61,76.79,40.04,72.98,56.05
2019-12-11,67.17,44.25,71.73,71.5,56.17,78.92
2019-12-12,51.49,75.0,76.92,59.65,71.84,79.14
2019-12-13,55.19,47.52,75.1,72.85,65.83,78.06
2019-12-14,55.89,73.45,67.56,45.37,46.91,67.31
2019-12-15,61.11,72.13,48.66,58.96,61.81,43.59
2019-12-16,51.6,55.31,75.39,56.26,47.67,68.1
2019-12-17,45.81,77.19,52.96,73.27,66.78,54.39
2019-12-18,69.49,57.26,48.55,74.71,78.54,56.19
2019-12-19,47.06,57.01,79.21,41.47,58.09,76.99
2019-12-20,40.65,68.59,53.05,62.65,53.87,45.16
2019-12-21,47.48,79.34,47.77,50.44,54.22,50.27
2019-12-22,75.69,70.24,41.44,54.54,65.31,76.85
2019-12-23,79.1,52.56,72.72,70.48,72.95,49.22
2019-12-24,44.77,72.22,48.84,64.3,51.92,70.95
2019-12-25,72.05,59.42,46.63,45.27,46.23,58.11
2019-12-26,69.79,70.93,40.09,77.1,70.95,55.53
2019-12-27,70.77,67.56,43.82,78.91,76.83,79.25
2019-12-28,50.11,63.01,56.43,42.75,65.77,45.26
2019-12-29,63.18,76.2,52.82,73.26,47.87,71.71
2019-12-30,51.69,62.84,59.8,68.85,50.09,79.79
2019-12-31,66.22,61.01,44.06,64.72,68.14,62.3
2020-01-01,53.56,46.51,73.51,69.55,50.13,74.19
2020-01-02,58.27,65.01,55.54,72.36,59.55,66.72
2020-01-03,45.06,46.55,43.48,45.91,77.34,46.84
2020-01-04,57.38,54.01,58.39,57.45,74.54,60.29
2020-01-05,61.98,54.13,54.26,77.5,54.7,74.59
2020-01-06,62.38,50.41,56.3,55.15,48.81,69.78
2020-01-07,55.07,66.87,62.04,45.77,64.49,62.93
2020-01-08,55.75,62.3,58.92,45.38,45.13,66.01
2020-01-09,61.38,70.89,64.4,76.63,63.23,51.31
2020-01-10,51.89,53.09,41.63,78.62,74.44,71.55
2020-01-11,54.44,70.93,44.51,78.58,41.44,57.99
2020-01-12,54.1,68.89,45.34,78.08,68.77,53.66
2020-01-13,61.85,50.14,51.67,74.52,73.68,58.46
2020-01-14,76.49,72.62,62.18,61.69,58.68,51.13
2020-01-15,53.74,49.69,43.45,77.01,79.36,52.58
2020-01-16,41.09,64.04,43.49,44.7,62.75,63.57
2020-01-17,78.57,68.01,78.2,71.56,66.97,79.44
2020-01-18,56.7,77.64,59.07,64.25,57.54,48.61
2020-01-19,60.57,59.25,70.98,57.27,62.08,58.61
2020-01-20,50.02,55.83,54.83,51.51,57.61,57.76
2020-01-21,55.61,79.46,61.42,76.95,73.44,65.89
2020-01-22,49.07,55.9,40.32,43.97,50.36,65.63
2020-01-23,69.18,42.74,41.77,51.16,67.24,54.18
2020-01-24,58.08,63.29,77.25,75.02,55.3,74.98
2020-01-25,54.35,74.49,45.51,41.11,52.49,43.83
2020-01-26,50.82,63.96,51.95,69.79,73.82,48.46
2020-01-27,66.26,72.58,52.12,48.35,55.32,62.57
2020-01-28,42.91,67.1,54.93,56.17,72.03,73.69
2020-01-29,40.41,44.1,77.18,57.86,73.33,41.99
2020-01-30,79.34,59.89,54.14,43.46,62.08,50.2
2020-01-31,76.15,63.4,42.44,70.32,66.49,77.77
2020-02-01,66.15,74.2,45.5,48.92,69.11,40.55
2020-02-02,65.96,61.78,61.89,67.65,55.63,60.7
2020-02-03,75.07,65.0,59.99,52.5,41.59,44.08
2020-02-04,49.41,40.52,47.8,45.41,43.91,79.39
2020-02-05,58.86,75.37,44.73,74.19,46.13,49.45
2020-02-06,64.88,77.75,44.45,40.67,47.73,42.0
2020-02-07,76.74,65.88,61.81,73.32,49.88,69.36
2020-02-08,62.77,77.83,60.29,66.24,63.38,51.17
2020-02-09,43.38,46.6,62.01,42.52,42.74,50.72
2020-02-10,50.7,49.86,51.17,75.76,40.73,53.26
2020-02-11,55.72,77.78,70.39,74.31,63.52,60.6
2020-02-12,52.53,47.93,44.51,50.73,77.44,73.88
2020-02-13,59.76,50.89,64.81,50.46,45.7,61.18
2020-02-14,49.7,78.64,46.62,55.64,75.06,73.99
2020-02-15,68.78,77.64,72.54,73.17,75.67,61.66
2020-02-16,60.52,54.58,68.18,62.71,66.36,77.79
2020-02-17,43.45,53.92,64.66,66.13,55.7,79.61
2020-02-18,73.36,42.17,50.56,58.93,78.91,77.21
2020-02-19,70.65,43.87,50.0,72.38,42.76,49.19
2020-02-20,47.57,54.91,55.9,46.84,59.92,52.36
2020-02-21,47.26,55.93,53.21,43.21,57.8,57.47
2020-02-22,68.41,46.47,55.76,75.32,61.04,53.46
2020-02-23,67.37,49.21,70.92,53.57,67.96,47.96
2020-02-24,78.9,41.63,75.22,56.94,69.74,51.56
2020-02-25,64.81,48.76,42.4,40.01,71.04,54.33
2020-02-26,56.18,78.7,54.86,42.34,75.76,56.76
2020-02-27,43.75,43.29,53.06,58.68,65.73,73.0
2020-02-28,43.61,50.77,70.14,73.23,74.65,73.85
2020-02-29,42.35,65.03,49.87,69.19,52.62,78.43
2020-03-01,48.22,54.53,57.64,51.03,57.66,55.81
2020-03-02,44.96,73.35,45.73,61.03,48.49,60.39
2020-03-03,65.15,63.06,60.52,43.49,61.38,65.82
2020-03-04,65.31,75.2,44.86,56.77,48.81,74.62
2020-03-05,59.42,40.68,51.66,79.15,79.13,58.84
2020-03-06,48.14,78.82,70.62,43.85,72.74,57.79
2020-03-07,77.08,54.47,77.48,48.04,40.54,78.15
2020-03-08,63.28,57.16,51.22,71.63,42.63,44.46
2020-03-09,67.86,77.86,61.79,47.77,54.78,74.67
2020-03-10,47.7,40.52,52.19,59.11,56.16,40.66
2020-03-11,54.47,54.66,79.67,78.3,71.42,74.25
2020-03-12,57.07,77.05,70.56,64.62,56.49,49.12
2020-03-13,66.66,48.43,47.03,51.23,63.88,47.43
2020-03-14,49.57,54.76,50.56,75.69,78.74,42.4
2020-03-15,77.66,61.66,41.09,69.72,41.22,74.02
2020-03-16,61.89,65.67,48.94,48.71,41.9,65.96
2020-03-17,76.66,40.83,62.52,49.07,66.91,54.45
2020-03-18,73.96,79.81,44.19,62.89,53.22,50.59
2020-03-19,50.61,49.37,55.44,75.93,46.62,59.36
2020-03-20,60.49,64.33,72.04,75.6,69.61,48.69
2020-03-21,69.77,57.17,59.57,50.28,43.82,45.86
2020-03-22,58.91,48.36,79.02,70.09,65.33,58.82
2020-03-23,54.76,59.06,74.83,41.43,65.79,72.58
2020-03-24,47.54,44.72,67.9,67.37,79.15,70.55
