date,Nikkei 225,Toyota Motor Corporation,Mitsubishi UFJ Financial Group,Sony Group Corporation,Hitachi Ltd.,"Nintendo Co., Ltd."
2019-04-18,77.6,62.35,62.58,72.81,57.68,46.47
2019-04-19,61.41,53.3,72.68,49.24,59.55,43.0
2019-04-20,63.08,55.08,63.03,77.34,41.32,46.05
2019-04-21,62.94,72.18,77.4,57.98,70.91,53.14
2019-04-22,79.79,41.08,78.16,42.55,55.03,60.81
2019-04-23,48.09,62.2,53.45,61.01,56.89,73.48
2019-04-24,60.47,52.46,55.99,50.65,47.61,58.15
2019-04-25,59.27,40.91,66.41,45.06,64.52,43.97
2019-04-26,54.27,63.41,75.81,69.36,68.12,77.48
2019-04-27,67.48,56.7,60.81,54.85,66.37,61.84
2019-04-28,71.12,57.9,71.83,60.0,77.29,71.08
2019-04-29,78.89,66.66,43.73,71.16,73.04,40.42
2019-04-30,64.42,55.4,58.04,70.2,70.17,55.35
2019-05-01,69.98,73.91,52.27,73.71,59.92,54.43
2019-05-02,67.8,63.21,74.1,63.94,44.47,41.61
2019-05-03,79.09,59.41,49.53,69.9,59.06,49.64
2019-05-04,68.32,60.15,76.72,61.38,64.83,41.3
2019-05-05,55.81,49.06,76.4,42.62,68.62,63.89
2019-05-06,53.28,78.82,70.43,66.97,65.45,48.4
2019-05-07,70.84,60.38,64.34,71.67,63.87,54.53
2019-05-08,49.03,78.95,41.74,60.93,45.48,62.79
2019-05-09,76.66,56.39,71.68,55.77,63.23,73.71
2019-05-10,65.39,54.33,75.91,63.14,78.19,78.94
2019-05-11,60.22,57.49,54.68,48.69,71.81,55.27
2019-05-12,41.25,48.17,47.29,69.35,67.74,40.01
2019-05-13,57.56,42.29,56.79,63.54,78.04,57.15
2019-05-14,67.18,72.7,69.1,61.31,60.77,49.37
2019-05-15,63.6,48.85,42.05,68.17,49.9,61.88
2019-05-16,42.58,43.2,49.05,46.36,76.31,41.78
2019-05-17,46.35,55.25,74.63,63.82,74.88,53.2
2019-05-18,73.22,76.41,71.41,78.45,67.48,67.36
2019-05-19,55.2,40.4,58.8,72.33,69.33,75.76
2019-05-20,61.48,69.28,41.3,70.14,71.56,67.61
2019-05-21,42.8,77.98,63.24,76.89,56.19,67.43
2019-05-22,46.32,45.39,58.41,73.62,52.51,57.73
2019-05-23,49.74,71.07,45.93,63.39,68.98,71.11
2019-05-24,41.86,42.4,76.52,58.91,78.36,72.15
2019-05-25,44.87,57.82,67.08,68.95,44.45,67.74
2019-05-26,68.28,67.94,41.0,45.43,76.33,67.48
2019-05-27,79.62,60.61,62.21,46.18,76.75,47.08
2019-05-28,49.15,58.29,49.69,76.22,47.21,49.33
2019-05-29,48.69,70.24,61.41,65.71,45.67,79.67
2019-05-30,57.3,46.94,49.38,57.48,73.49,74.05
2019-05-31,68.67,64.96,49.61,60.13,65.69,61.02
2019-06-01,58.6,51.31,44.61,73.11,73.95,73.09
2019-06-02,53.18,40.47,41.86,52.45,59.47,71.51
2019-06-03,55.33,49.07,52.49,64.85,78.78,69.91
2019-06-04,49.75,75.93,62.43,66.3,56.99,50.56
2019-06-05,46.47,67.01,71.68,70.61,55.53,72.27
2019-06-06,69.09,40.26,65.99,67.42,71.24,67.78
2019-06-07,58.38,57.96,79.21,71.9,65.79,78.75
2019-06-08,41.48,57.68,79.36,47.98,50.4,69.91
2019-06-09,75.03,78.72,64.18,73.27,67.12,67.2
2019-06-10,76.32,51.53,52.47,44.34,54.25,46.98
2019-06-11,61.06,73.7,55.07,67.03,46.63,59.88
2019-06-12,41.28,52.86,72.69,51.85,43.3,46.52
2019-06-13,68.88,48.58,41.5,68.48,79.38,45.35
2019-06-14,70.2,46.01,70.89,69.9,71.89,54.66
2019-06-15,53.66,61.95,65.45,65.83,41.11,55.0
2019-06-16,47.89,62.64,72.78,42.0,57.02,73.81
2019-06-17,40.6,77.06,66.93,75.27,53.68,63.33
2019-06-18,62.61,66.19,51.68,47.19,77.28,62.19
2019-06-19,56.82,65.71,66.08,59.99,45.82,41.72
2019-06-20,59.04,68.67,44.8,51.9,43.92,70.59
2019-06-21,70.43,52.05,70.89,72.59,72.71,67.42
2019-06-22,67.17,49.46,54.53,62.45,40.05,47.28
2019-06-23,44.58,72.48,56.13,47.08,74.95,60.27
2019-06-24,75.15,53.3,54.01,69.95,79.41,42.18
2019-06-25,56.28,58.52,51.33,45.93,76.22,79.74
2019-06-26,52.6,41.09,70.4,53.11,62.86,64.52
2019-06-27,49.78,55.18,75.64,55.0,71.47,58.19
2019-06-28,55.14,61.64,45.89,57.34,78.74,78.13
2019-06-29,43.98,77.32,63.92,47.54,41.48,42.99
2019-06-30,50.76,68.89,79.69,61.51,56.1,79.59
2019-07-01,61.28,63.28,72.35,45.39,54.19,49.51
2019-07-02,60.51,49.4,50.34,41.9,63.56,79.69
2019-07-03,65.46,78.22,67.43,71.01,70.6,52.63
2019-07-04,40.16,57.51,49.28,53.46,60.35,41.36
2019-07-05,69.53,70.23,76.55,64.32,54.61,41.47
2019-07-06,69.54,71.29,41.46,66.6,71.91,75.75
2019-07-07,40.42,63.63,68.57,45.06,48.12,46.69
2019-07-08,75.72,48.95,40.51,46.95,44.91,79.69
2019-07-09,66.94,40.93,57.68,44.73,64.26,64.03
2019-07-10,67.82,52.06,74.24,65.96,61.09,54.08
2019-07-11,60.02,55.71,62.44,46.95,63.63,78.68
2019-07-12,50.3,50.19,50.34,66.62,63.96,43.03
2019-07-13,53.32,64.8,68.12,71.84,62.64,63.54
2019-07-14,59.63,53.72,41.33,64.08,62.83,62.5
2019-07-15,41.02,70.48,62.67,56.38,78.79,52.14
2019-07-16,59.1,49.17,50.23,40.26,62.6,54.85
2019-07-17,71.28,61.31,43.64,76.93,59.6,58.29
2019-07-18,59.77,60.09,45.13,43.83,67.15,72.8
2019-07-19,54.14,65.34,46.97,59.28,62.95,64.28
2019-07-20,44.8,64.26,71.93,63.61,74.22,77.37
2019-07-21,74.23,65.19,48.07,67.55,64.76,67.26
2019-07-22,60.51,78.47,67.87,56.03,55.83,62.04
2019-07-23,45.51,77.39,51.01,66.68,56.99,49.59
2019-07-24,69.99,63.45,63.63,58.39,64.35,61.52
2019-07-25,51.41,47.56,55.43,77.14,68.55,67.27
2019-07-26,66.08,55.07,41.73,65.37,79.18,61.83
2019-07-27,70.15,57.66,63.39,75.56,70.41,51.36
2019-07-28,77.01,61.27,73.82,79.09,52.59,66.19
2019-07-29,74.38,74.95,62.31,66.55,41.61,66.89
2019-07-30,76.73,59.45,45.85,51.85,40.43,57.57
2019-07-31,42.12,51.89,66.17,68.57,74.69,50.54
2019-08-01,54.54,49.54,67.94,64.44,61.95,61.47
2019-08-02,42.04,53.34,53.05,44.78,49.32,46.07
2019-08-03,68.01,45.16,47.73,73.61,49.31,52.42
2019-08-04,44.88,55.44,70.93,70.49,45.86,49.07
2019-08-05,51.68,50.47,46.18,60.04,73.93,74.18
2019-08-06,72.9,71.41,59.74,48.22,68.52,63.33
2019-08-07,53.6,72.29,40.26,41.53,52.61,63.46
2019-08-08,43.05,48.51,41.76,53.2,66.11,63.74
2019-08-09,59.43,62.89,50.97,54.83,57.06,45.0
2019-08-10,41.28,64.35,64.23,49.66,79.91,76.19
2019-08-11,70.15,44.37,45.45,63.61,42.26,71.67
2019-08-12,71.85,49.11,41.69,40.29,70.03,62.95
2019-08-13,42.54,67.07,69.06,71.07,40.46,73.58
2019-08-14,58.93,70.81,72.52,48.08,77.23,43.05
2019-08-15,40.81,73.33,43.37,54.47,72.72,60.87
2019-08-16,40.67,59.4,67.11,49.63,45.95,65.8
2019-08-17,74.78,61.07,76.62,77.77,51.78,63.94
2019-08-18,46.19,54.4,53.08,57.86,46.04,59.51
2019-08-19,43.51,53.22,47.59,51.52,50.05,77.1
2019-08-20,54.32,76.88,79.81,41.6,55.65,43.98
2019-08-21,58.92,40.44,74.22,70.02,74.06,68.49
2019-08-22,42.99,77.75,66.83,59.14,79.33,43.26
2019-08-23,57.35,65.21,67.0,50.69,52.88,43.65
2019-08-24,76.28,56.15,57.72,69.11,52.91,70.95
2019-08-25,71.32,71.81,64.57,73.84,74.79,64.35
2019-08-26,46.4,69.1,62.83,48.86,73.73,58.01
2019-08-27,64.65,43.45,68.48,57.58,54.09,78.6
2019-08-28,56.47,43.71,50.67,76.82,56.61,63.51
2019-08-29,69.27,57.35,76.49,49.15,63.71,79.78
2019-08-30,58.94,75.09,52.97,57.48,47.42,53.39
2019-08-31,51.74,49.34,65.09,43.82,67.9,47.35
2019-09-01,40.54,60.62,45.55,77.92,55.47,79.26
2019-09-02,68.95,60.81,52.7,77.65,65.58,75.19
2019-09-03,73.99,73.87,75.21,43.61,45.36,78.0
2019-09-04,48.45,61.07,71.22,75.23,52.46,44.85
2019-09-05,44.31,48.82,63.64,69.96,50.05,61.83
2019-09-06,42.45,41.33,69.75,68.94,46.6,76.2
2019-09-07,65.27,75.07,57.54,52.98,69.96,50.85
2019-09-08,78.53,51.83,44.61,48.0,41.76,79.35
2019-09-09,55.9,52.47,55.75,66.28,72.16,68.56
2019-09-10,44.82,61.03,67.97,64.44,46.64,46.71
2019-09-11,56.22,66.43,42.03,42.16,73.95,64.1
2019-09-12,45.45,48.87,50.78,40.56,71.69,57.23
2019-09-13,75.11,67.52,63.75,78.86,55.13,58.06
2019-09-14,48.99,77.5,63.24,46.05,75.03,65.99
2019-09-15,64.03,65.94,69.1,58.82,44.51,50.27
2019-09-16,61.77,78.08,45.92,41.83,74.45,73.58
2019-09-17,41.01,57.1,65.98,54.12,43.05,44.54
2019-09-18,64.82,78.77,77.89,72.3,40.43,71.53
2019-09-19,41.8,43.54,64.13,40.27,53.06,71.43
2019-09-20,67.89,46.5,69.67,78.68,74.93,48.31
2019-09-21,78.92,78.15,75.64,71.38,72.59,58.14
2019-09-22,47.49,58.0,49.31,78.44,56.67,71.04
2019-09-23,59.22,68.15,76.4,55.41,56.44,72.3
2019-09-24,41.92,40.31,57.02,62.52,66.68,41.91
2019-09-25,60.86,57.35,41.99,52.95,58.37,73.89
2019-09-26,61.71,54.42,51.16,53.65,51.5,68.2
2019-09-27,72.71,40.66,47.89,73.46,46.8,72.69
2019-09-28,49.83,75.45,51.86,68.16,58.47,67.75
2019-09-29,67.49,77.34,42.52,62.68,40.43,66.97
2019-09-30,43.4,72.25,60.38,52.57,45.18,71.5
2019-10-01,42.44,48.26,46.43,58.26,54.2,61.66
2019-10-02,42.33,51.87,74.98,51.52,52.01,42.37
2019-10-03,56.43,54.12,75.88,50.53,48.15,40.95
2019-10-04,54.42,69.15,50.94,60.57,72.92,44.83
2019-10-05,45.31,78.53,71.85,52.72,43.06,42.13
2019-10-06,58.61,44.65,40.71,66.13,71.96,41.19
2019-10-07,53.5,78.57,52.22,53.62,41.59,60.41
2019-10-08,42.6,45.01,77.77,63.88,68.68,73.72
2019-10-09,50.92,74.86,45.63,56.36,64.61,50.61
2019-10-10,48.74,60.3,55.9,62.76,71.69,74.57
2019-10-11,73.46,79.11,45.68,45.73,42.3,77.54
2019-10-12,64.59,53.35,61.77,45.06,53.68,55.1
2019-10-13,74.14,61.91,58.49,54.18,51.72,43.37
2019-10-14,77.62,67.79,68.6,42.19,72.92,63.46
2019-10-15,41.55,70.76,78.86,65.32,71.57,42.68
2019-10-16,59.93,56.82,48.62,48.09,46.5,70.05
2019-10-17,64.07,47.76,47.7,42.39,75.72,71.39
2019-10-18,72.16,78.24,42.51,48.07,48.11,66.92
2019-10-19,68.38,75.25,57.04,76.38,74.77,72.28
2019-10-20,49.66,46.32,67.44,61.4,62.44,73.48
2019-10-21,47.26,78.72,76.72,71.25,63.77,71.42
2019-10-22,53.33,47.59,53.13,54.17,62.13,44.43
2019-10-23,42.62,64.79,56.8,60.43,42.64,71.89
2019-10-24,75.78,66.67,64.57,68.22,40.72,78.08
2019-10-25,41.73,51.35,41.83,62.16,62.94,43.95
2019-10-26,59.75,78.71,47.89,59.02,78.84,54.96
2019-10-27,51.44,49.2,75.77,44.62,72.13,49.56
2019-10-28,57.75,54.96,77.38,55.27,71.95,48.92
2019-10-29,74.28,68.59,55.23,67.65,46.89,71.04
2019-10-30,69.11,78.55,51.08,46.37,73.74,65.7
2019-10-31,68.55,68.51,44.4,62.66,68.15,61.25
2019-11-01,42.4,43.02,65.63,69.89,51.17,55.1
2019-11-02,69.98,56.84,73.5,44.17,69.02,56.36
2019-11-03,66.1,60.0,40.28,41.05,68.55,78.09
2019-11-04,73.46,71.52,77.65,50.08,64.72,72.66
2019-11-05,44.19,54.03,77.46,74.5,55.1,46.58
2019-11-06,57.61,59.73,79.75,54.32,55.46,49.61
2019-11-07,78.29,78.44,45.32,63.16,69.7,79.57
2019-11-08,51.8,64.01,44.8,56.56,54.62,70.07
2019-11-09,79.55,44.17,44.89,74.69,78.88,46.35
2019-11-10,52.02,50.01,55.72,47.98,65.45,42.47
2019-11-11,49.98,54.14,47.57,47.1,70.89,40.91
2019-11-12,41.15,66.41,44.89,59.5,69.21,40.33
2019-11-13,79.48,47.49,66.47,52.8,45.87,46.0
2019-11-14,48.49,64.08,70.06,45.39,54.53,48.19
2019-11-15,49.74,60.12,60.79,45.75,44.35,58.56
2019-11-16,56.99,42.93,64.82,43.61,53.34,43.23
2019-11-17,53.57,77.13,64.6,49.21,56.43,61.91
2019-11-18,69.46,50.73,66.4,57.71,66.7,65.74
2019-11-19,63.85,56.83,73.21,47.14,76.99,50.98
2019-11-20,51.15,73.19,73.5,64.74,60.15,75.99
2019-11-21,49.03,68.52,62.37,61.73,52.64,78.36
2019-11-22,44.91,71.3,78.74,72.86,51.28,45.62
2019-11-23,67.98,78.02,55.16,63.05,54.26,74.26
2019-11-24,56.78,79.51,69.12,65.61,77.96,50.62
2019-11-25,55.34,46.67,65.01,75.87,42.29,74.9
2019-11-26,63.81,66.74,61.17,77.72,60.74,40.59
2019-11-27,54.77,63.72,64.18,71.6,62.6,42.63
2019-11-28,64.61,58.19,61.89,72.06,54.09,76.04
2019-11-29,64.27,64.83,78.12,78.31,53.98,71.68
2019-11-30,41.61,54.04,71.63,61.19,46.82,56.9
2019-12-01,74.02,58.67,44.06,62.91,75.74,70.1
2019-12-02,48.31,41.84,63.56,53.76,42.85,79.82
2019-12-03,61.28,46.91,77.08,75.91,69.08,54.02
2019-12-04,67.11,76.77,74.15,54.8,79.88,63.46
2019-12-05,70.81,67.46,76.84,41.36,66.44,70.99
2019-12-06,49.74,57.2,56.76,51.22,65.75,60.0
2019-12-07,46.01,61.29,44.84,61.77,68.51,57.14
2019-12-08,66.18,76.59,44.83,41.5,75.69,64.86
2019-12-09,77.65,69.32,78.8,70.98,55.42,44.14
2019-12-10,44.5,44.08,65.33,44.01,51.54,43.42
2019-12-11,56.13,45.12,74.94,54.32,41.22,62.7
2019-12-12,60.14,51.86,79.6,78.7,72.54,44.6
2019-12-13,41.63,42.11,68.85,46.69,40.68,47.75
2019-12-14,49.27,52.8,49.41,71.32,49.1,74.19
2019-12-15,68.6,58.54,59.66,67.59,47.49,42.0
2019-12-16,62.55,73.55,55.37,49.79,48.31,55.81
2019-12-17,73.5,53.07,41.24,50.89,45.66,46.73
2019-12-18,50.11,42.57,47.25,55.67,77.14,70.13
2019-12-19,69.97,74.06,57.74,69.65,44.14,54.6
2019-12-20,55.9,60.08,41.88,48.67,67.73,44.73
2019-12-21,58.65,55.27,54.75,56.43,66.07,48.56
2019-12-22,52.36,74.26,53.52,56.54,58.51,66.24
2019-12-23,45.34,42.79,63.58,47.15,75.68,66.24
2019-12-24,59.18,67.2,77.03,65.15,73.3,53.36
2019-12-25,51.95,60.76,64.02,69.73,46.49,65.51
2019-12-26,57.71,70.12,50.32,54.94,52.06,55.97
2019-12-27,79.04,78.52,71.84,57.54,52.95,71.49
2019-12-28,79.53,74.32,55.87,72.61,71.92,70.21
2019-12-29,48.82,63.62,58.24,43.11,72.13,63.98
2019-12-30,66.18,61.38,70.44,56.72,42.67,74.6
2019-12-31,40.89,49.33,73.17,70.02,61.92,53.09
2020-01-01,57.26,55.59,77.24,58.77,62.65,47.87
2020-01-02,67.08,64.81,73.53,59.83,76.05,69.43
2020-01-03,76.89,42.22,77.2,43.51,55.11,50.51
2020-01-04,52.2,46.37,44.07,49.01,73.82,65.67
2020-01-05,45.12,62.94,51.73,44.17,49.88,61.86
2020-01-06,40.5,75.22,60.93,45.78,69.51,64.31
2020-01-07,66.04,74.44,52.23,74.78,47.34,57.28
2020-01-08,67.59,51.1,43.17,45.77,71.36,72.51
2020-01-09,55.39,65.01,44.16,56.2,46.08,45.06
2020-01-10,41.36,58.27,79.72,56.12,71.53,62.33
2020-01-11,55.86,51.43,47.87,41.81,50.92,73.27
2020-01-12,73.97,55.5,56.32,68.53,76.76,45.26
2020-01-13,65.38,56.28,64.18,55.38,52.91,72.77
2020-01-14,41.3,47.9,47.26,41.86,63.05,57.46
2020-01-15,63.93,71.6,55.0,66.88,43.73,42.59
2020-01-16,58.98,71.42,75.03,66.57,55.31,71.28
2020-01-17,46.39,66.51,65.77,77.44,40.62,68.56
2020-01-18,41.28,60.49,67.43,48.97,75.92,63.33
2020-01-19,55.26,77.24,40.89,65.96,63.03,55.91
2020-01-20,78.4,54.14,57.53,69.16,51.27,61.4
2020-01-21,54.47,50.11,79.4,42.74,76.68,76.25
2020-01-22,65.42,46.07,54.11,78.1,59.87,60.86
2020-01-23,53.5,71.45,49.08,63.39,59.72,46.8
2020-01-24,77.59,57.83,41.82,59.53,51.46,73.03
2020-01-25,49.1,40.08,69.07,73.4,74.98,75.45
2020-01-26,40.13,59.58,74.51,58.27,64.95,71.72
2020-01-27,45.76,71.68,77.69,51.68,76.43,45.38
2020-01-28,63.38,54.28,49.13,76.08,51.69,52.9
2020-01-29,62.64,76.33,57.36,57.7,51.64,59.82
2020-01-30,68.8,67.11,40.5,52.96,41.46,76.36
2020-01-31,76.78,72.25,46.52,71.04,67.03,75.56
2020-02-01,57.02,78.53,70.18,78.51,73.9,49.9
2020-02-02,57.77,47.8,64.97,64.07,41.19,45.67
2020-02-03,77.92,45.64,55.66,48.97,76.15,56.58
2020-02-04,60.87,45.57,49.6,67.99,41.95,64.45
2020-02-05,61.64,50.5,78.71,50.77,62.43,76.18
2020-02-06,78.4,77.32,55.86,54.81,64.89,64.53
2020-02-07,42.16,78.16,44.82,64.17,53.26,57.55
2020-02-08,51.2,77.29,66.65,74.55,66.76,59.3
2020-02-09,44.42,54.86,70.0,50.96,47.57,47.96
2020-02-10,72.39,43.67,79.08,56.18,61.76,50.43
2020-02-11,75.57,61.9,77.98,55.43,41.15,76.43
2020-02-12,62.58,52.85,77.28,72.31,78.69,42.96
2020-02-13,62.32,64.82,49.02,75.63,60.01,48.38
2020-02-14,57.16,58.03,75.79,57.14,68.41,70.82
2020-02-15,63.84,79.86,41.5,75.63,49.65,75.81
2020-02-16,54.42,41.52,49.11,59.27,73.49,69.99
2020-02-17,68.32,64.58,62.21,53.66,51.83,53.26
2020-02-18,67.91,72.87,67.7,43.96,41.56,43.26
2020-02-19,54.2,51.99,40.56,75.98,64.32,65.89
2020-02-20,56.4,73.74,56.29,52.32,51.11,50.91
2020-02-21,50.23,46.43,60.45,70.09,42.66,64.44
2020-02-22,71.74,78.18,75.04,70.84,59.45,72.69
2020-02-23,40.69,70.61,54.83,59.53,69.44,72.84
2020-02-24,52.39,46.35,72.57,76.85,69.72,43.73
2020-02-25,51.16,50.72,56.79,51.88,41.71,57.15
2020-02-26,57.75,57.23,53.87,44.33,40.52,68.4
2020-02-27,69.43,49.5,62.46,74.85,43.69,40.66
2020-02-28,74.48,46.26,58.25,68.41,53.18,68.98
2020-02-29,57.53,79.56,78.61,42.2,64.21,73.99
2020-03-01,43.14,46.2,48.73,70.71,54.18,61.26
2020-03-02,46.85,41.77,65.87,45.31,66.03,58.78
2020-03-03,42.32,41.81,51.17,78.85,66.09,67.18
2020-03-04,70.98,50.93,68.82,60.37,77.93,52.5
2020-03-05,71.75,56.16,60.47,52.61,44.01,53.91
2020-03-06,41.72,76.72,62.51,61.1,47.38,77.61
2020-03-07,60.73,76.38,70.78,47.41,79.19,61.96
2020-03-08,50.05,78.85,49.01,66.42,49.74,46.84
2020-03-09,58.48,45.25,48.56,43.6,42.03,77.24
2020-03-10,58.55,64.44,48.37,55.61,54.97,63.22
2020-03-11,70.94,75.22,46.69,47.32,44.16,62.33
2020-03-12,74.24,45.4,46.93,40.33,73.28,74.93
2020-03-13,60.53,41.68,55.68,72.95,56.15,58.16
2020-03-14,68.54,52.22,74.8,44.91,41.73,48.05
2020-03-15,62.49,66.99,52.65,46.86,57.12,70.71
2020-03-16,66.15,48.22,59.68,72.23,51.71,60.88
2020-03-17,54.45,74.09,60.87,44.06,55.15,41.49
2020-03-18,57.23,76.7,65.7,72.36,62.28,56.99
2020-03-19,43.9,47.16,79.16,58.53,78.12,44.51
2020-03-20,61.41,78.5,62.4,55.79,46.86,56.68
2020-03-21,49.49,71.04,69.09,76.85,49.43,73.1
